r,p,z
0,4.338112672059195E-10,0.0
1,9.42910149022165E-9,2.0
2,9.866116843684808E-8,4.0
3,6.623041048448415E-7,6.0
4,3.2078390736854756E-6,8.0
5,1.195623246567901E-5,10.0
6,3.5729782742747717E-5,12.0
7,8.811867562630391E-5,14.0
8,1.8335316524636556E-4,16.0
9,3.277993364157267E-4,18.0
10,5.118257561949394E-4,20.0
11,7.090955232861738E-4,22.0
12,8.859657319956261E-4,24.0
13,0.0010155053668561762,26.0
14,0.0010868796401018422,28.0
15,0.0011054587444232463,30.0
16,0.0010866293478041136,32.0
17,0.0010619423499352255,34.0
18,0.001177626843528882,36.0
19,0.0019980554681639745,38.0
20,0.0047898638848582805,40.0
21,0.010975729896565426,42.0
22,0.020464361253194247,44.0
23,0.030586317745377845,46.0
24,0.03781484467453976,48.0
25,0.04106410152065733,50.0
26,0.04246016232847305,52.0
27,0.04435183170779862,54.0
28,0.04644285425220244,56.0
29,0.04658417080532531,58.0
30,0.04365642490701235,60.0
31,0.03875612572840769,62.0
32,0.03383341260029911,64.0
33,0.02993487393640206,66.0
34,0.02683802029714523,68.0
35,0.023870550053055304,70.0
36,0.020754994409172407,72.0
37,0.01781790487503869,74.0
38,0.015672985909662835,76.0
39,0.014719112834595732,78.0
40,0.014774408240201795,80.0
41,0.015174896559099461,82.0
42,0.015342648419049965,84.0
43,0.01524943385966806,86.0
44,0.015230762515378839,88.0
45,0.015413289518653856,90.0
46,0.015501779956563854,92.0
47,0.015133682310694467,94.0
48,0.014277485721359149,96.0
49,0.013214575397815393,98.0
50,0.24800847324968298,100.0
