r,p,z
0,5.048443881605635E-6,0.0
1,6.166881212266162E-5,2.0
2,3.6630031422646425E-4,4.0
3,0.0014451499610004248,6.0
4,0.004385752329881143,8.0
5,0.011159344014231465,10.0
6,0.02480843885973627,12.0
7,0.04851550528110238,14.0
8,0.08266375158882511,16.0
9,0.12132133995328331,18.0
10,0.15214259018421217,20.0
11,0.16219918857314042,22.0
12,0.1464287604017045,24.0
13,0.11145729212512379,26.0
14,0.07111422522802968,28.0
15,0.03771811581827933,30.0
16,0.016432739162837606,32.0
17,0.00578106616740115,34.0
18,0.001601777004680116,36.0
19,3.365355969435768E-4,38.0
20,5.039880693402665E-5,40.0
21,4.793697371496819E-6,42.0
22,2.17675051317201E-7,44.0
23,0.0,46.0
24,0.0,48.0
25,0.0,50.0
26,0.0,52.0
27,0.0,54.0
28,0.0,56.0
29,0.0,58.0
30,0.0,60.0
31,0.0,62.0
32,0.0,64.0
33,0.0,66.0
34,0.0,68.0
35,0.0,70.0
36,0.0,72.0
37,0.0,74.0
38,0.0,76.0
39,0.0,78.0
40,0.0,80.0
41,0.0,82.0
42,0.0,84.0
43,0.0,86.0
44,0.0,88.0
45,0.0,90.0
46,0.0,92.0
47,0.0,94.0
48,0.0,96.0
49,0.0,98.0
50,0.0,100.0
