Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
0,0.0,0.59696337,0.52691349,0.0,0.14226325,0.236046292,0.129496292,0.035312458
6,0.07147101,0.52609525,0.63655369,0.70444425,0.362391708,0.138482709,0.118458375,0.036040333
12,0.20225814,0.70966415,0.66357813,1.34424275,0.244780666,0.187896083,0.156511875,0.017738292
34,0.39920267,0.71590276,0.69752558,2.434453916,0.294111708,0.338337875,0.351722292,0.023385542
59,0.48406442,0.72024423,0.70040669,3.052394541,0.312071875,0.138744,0.107148708,0.020208042
81,0.5132052,0.72026933,0.69956237,3.6049225,0.262507875,0.127822792,0.109988625,0.019071375
116,0.54501597,0.72030861,0.70087187,4.151698916,0.279165875,0.112727625,0.106381042,0.011596542
167,0.57841989,0.72037848,0.70061829,4.649719,0.223631125,0.110234042,0.106803542,0.018173834
341,0.62765135,0.7203469,0.70156319,5.225021875,0.242201542,0.109012334,0.107709917,0.011357708
541,0.64759115,0.72042368,0.70796676,5.866706,0.269601417,0.109616625,0.145609041,0.011399625
774,0.66243471,0.72042368,0.71498135,6.473337333,0.242801917,0.119248875,0.120073416,0.012574834
1137,0.67353842,0.72042599,0.71498135,7.208128916,0.273710667,0.111994833,0.148828834,0.031301792
1962,0.68453173,0.72046687,0.71498135,8.053884791,0.252223458,0.111478291,0.121542292,0.011717
2424,0.68735211,0.72049988,0.71495312,8.811496041,0.260926833,0.114984333,0.130869959,0.011167125
2964,0.69096152,0.72049988,0.71495312,9.549247833,0.248205708,0.112615708,0.112937667,0.0142315
4683,0.69745276,0.72049988,0.71498135,10.768075541,0.298170792,0.090996541,0.079984375,0.014697084
8607,0.70337973,0.72049988,0.72053756,12.834348125,0.27277675,0.113672208,0.110002292,0.011412833
12376,0.70714088,0.72053978,0.72053756,14.905447791,0.262452334,0.108617542,0.110521042,0.011188375
16518,0.70912347,0.72053502,0.72053756,17.066095791,0.248612125,0.107712042,0.108403209,0.011178292
23040,0.71071988,0.72053756,0.72053756,20.441731958,0.288643292,0.10709275,0.098461084,0.015820667
37437,0.71272237,0.72053756,0.72053756,26.298973958,0.223357,0.082389916,0.092919041,0.010091084
66371,0.71442161,0.72053978,0.72053756,40.587218583,0.334072167,0.114883625,0.113791709,0.01592175
100000,0.71559223,0.72054232,0.72053756,55.945571333,0.323130167,0.108446542,0.106386375,0.014500959
