Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
0,0.0,0.59592508,0.51036561,0.0,0.128061417,0.10422425,0.091936542,0.044443583
6,0.3560764,0.53231098,0.67859589,1.114025209,0.355284125,0.135808583,0.082153875,0.017421709
12,0.43842074,0.64055314,0.70343137,2.265323792,0.503485792,0.10823325,0.070843125,0.012348
32,0.57225905,0.70223293,0.71780812,3.149312667,0.291448875,0.071641334,0.071925208,0.010662083
56,0.63066809,0.71438424,0.71897418,4.055539709,0.292944,0.075734958,0.077654541,0.010862959
90,0.63505284,0.7169435,0.71902367,6.192975792,0.532430375,0.120911125,0.096703375,0.015475125
130,0.64830887,0.71722358,0.72004426,7.390296375,0.381397625,0.096815833,0.097248166,0.014302417
222,0.67019226,0.71933142,0.72007788,8.597399959,0.36786,0.102890792,0.081530167,0.017455583
351,0.68870023,0.72032123,0.72047244,9.967927459,0.401442667,0.096719542,0.081422916,0.012752042
568,0.69217538,0.72018595,0.72047244,11.282382292,0.38017425,0.091305875,0.079207167,0.012343208
747,0.70050309,0.72032054,0.72047244,12.5647315,0.392155833,0.078688167,0.079278584,0.016044167
1119,0.70362111,0.72032123,0.72047244,14.245418959,0.707484792,0.079526667,0.079283209,0.012479083
1771,0.70673624,0.72049568,0.72047244,15.791987917,0.4061215,0.09123675,0.07716625,0.017423875
2469,0.7070046,0.72046056,0.72051568,17.435183334,0.389588584,0.098831375,0.090404041,0.014689375
2861,0.70858273,0.72049568,0.72047244,18.911761542,0.416083834,0.097863042,0.079049042,0.019642833
4876,0.71160878,0.72053502,0.72051557,21.242483375,0.421799584,0.123127834,0.10707775,0.014809958
6400,0.71231404,0.72053502,0.72051568,23.330711959,0.385075083,0.115133917,0.082822166,0.017580792
10000,0.71473143,0.72053502,0.72051568,26.507312209,0.406352,0.111890917,0.082085958,0.016191
