Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
0,0.0,0.60715791,0.50482126,0.0,0.026450708,0.174147041,0.106373083,0.025864083
6,0.34301712,0.53231098,0.67686025,0.566026333,0.117124958,0.136318208,0.098582708,0.015353041
12,0.42216378,0.57049322,0.70832385,1.064743667,0.114935292,0.085271917,0.083122166,0.014891917
28,0.54608428,0.69561114,0.71849106,1.598485208,0.12100825,0.083219084,0.080222416,0.013083375
41,0.58377803,0.7070444,0.71848842,2.139927917,0.118022375,0.086253125,0.080594791,0.012758375
60,0.61466204,0.71301709,0.71876983,2.667630375,0.1172555,0.082020125,0.079805,0.012377833
102,0.6303849,0.71375648,0.72017884,3.237727875,0.11978175,0.090493833,0.080886833,0.016891584
144,0.65024456,0.71718509,0.72017884,3.83172125,0.125861625,0.086865,0.085051,0.01468775
168,0.65695096,0.71826995,0.72017119,4.435606958,0.134580083,0.089660125,0.082445125,0.016201125
224,0.67089806,0.71926814,0.72007788,5.054419125,0.127972333,0.087826375,0.080492375,0.014533541
377,0.69050992,0.72038385,0.72045456,5.710224583,0.127819583,0.085722542,0.08063725,0.016095042
451,0.69033678,0.72032123,0.72047244,6.332072667,0.12552675,0.08489225,0.083364958,0.014890375
731,0.69883333,0.72032123,0.72047244,7.014114833,0.166790791,0.067050959,0.067608875,0.009741375
1196,0.70227942,0.72032123,0.72048026,7.762725125,0.138844084,0.067862584,0.066637083,0.010510625
1625,0.70519203,0.72037202,0.72047244,8.558503958,0.142330708,0.0682675,0.070886583,0.016435417
2354,0.70671286,0.72049568,0.72051568,9.449258375,0.134140375,0.071613541,0.072275291,0.011046708
3129,0.70876881,0.72049568,0.72050748,10.376209083,0.137494125,0.068868333,0.07044425,0.010599417
4958,0.71057419,0.72053502,0.72050748,11.635131292,0.127054417,0.069652875,0.067824917,0.010065625
6400,0.71187539,0.72053502,0.72050748,12.841757208,0.144445084,0.069709458,0.070060208,0.011326292
10000,0.71446933,0.72053502,0.72051568,14.766307208,0.09728675,0.069920709,0.068417,0.0092825
