Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
0,10.0,10.0,14.63842187,0.0,9.56375E-4,0.001456666,0.001393083,4.67041E-4
4,10.0,10.0,14.63842187,0.009791208,0.00598375,0.001577875,0.001095166,3.30541E-4
9,10.0,10.0,15.21180469,0.015683333,0.00253075,0.00123975,0.001117,3.68459E-4
14,10.0,10.0,15.26160469,0.024820958,0.005418042,0.001644917,0.001190833,3.30875E-4
16,10.0,10.0,15.21180469,0.034618416,0.0060685,0.001490166,0.0014295,3.67458E-4
27,10.0,10.0,15.26160469,0.045152458,0.006277875,0.001598125,0.001214209,3.84875E-4
37,10.0,10.0,15.21180469,0.057565708,0.008087792,0.001487292,0.001557209,3.9025E-4
69,10.0,10.0,15.32706469,0.068058208,0.006905125,0.001090042,9.11291E-4,3.04416E-4
76,10.0,10.0,15.33299344,0.078298208,0.006955375,0.001212041,9.74291E-4,3.41917E-4
97,10.0,10.0,15.32706469,0.090197416,0.007803833,0.001338542,0.001391042,3.52542E-4
163,10.0,10.0,15.33299344,0.102381083,0.007306875,0.001290542,0.001020792,3.38084E-4
204,10.0,10.0,15.32706469,0.113899208,0.007380958,0.001270875,9.655E-4,3.305E-4
354,11.00642596,13.0,15.33299344,0.130516291,0.00839225,0.001412042,0.001240458,4.28292E-4
408,11.21178355,13.0,15.33299344,0.145338541,0.008036375,0.001405083,0.002214542,8.83125E-4
442,11.17628388,13.0,15.33299344,0.158405458,0.008508167,0.001370417,0.001104917,4.29042E-4
830,12.10477922,13.0,15.33299344,0.187150791,0.010904333,0.001343625,9.87959E-4,6.00291E-4
900,12.21694306,13.0,15.33299344,0.202205125,0.009720959,0.001388541,0.001007833,3.54833E-4
1185,12.32068684,14.50105,15.33299344,0.22958975,0.011696208,0.001573334,0.001223792,4.11917E-4
1482,12.80481216,15.09415,15.32706469,0.25425475,0.011371292,0.001487292,0.00108675,4.3775E-4
1756,13.09836614,15.22596,15.32706469,0.279040041,0.010445708,0.001355083,0.001326833,3.91833E-4
2528,13.29249137,15.22596,15.33299344,0.316901833,0.010528208,0.001398791,9.9425E-4,4.05125E-4
3835,13.85197267,15.31750219,15.32706469,0.373508291,0.0118675,0.001587833,0.001422458,4.77125E-4
4907,14.02260084,15.1605,15.26160469,0.419556666,0.010044416,0.001354625,0.001724541,4.69667E-4
6518,14.1438041,15.25204219,15.32706469,0.480712333,0.009909166,0.001263625,9.24667E-4,3.04958E-4
7233,14.16340509,15.25204219,15.32706469,0.515634333,0.010882417,0.00169075,0.001074084,3.58625E-4
10970,14.26078319,15.31750219,15.32706469,0.646392666,0.012654708,0.001436583,0.001904625,7.81958E-4
11741,14.28500162,15.31750219,15.32706469,0.689721458,0.014757917,0.002002709,0.001033125,3.45E-4
14777,14.49179365,15.33299344,15.32706469,0.794138,0.012127375,0.001284292,9.45584E-4,3.41334E-4
17636,14.5605821,15.33299344,15.33299344,0.92345575,0.013321417,0.003631417,0.00118875,4.10125E-4
20575,14.63410935,15.33299344,15.33299344,1.065188166,0.011678708,0.001424333,0.001201042,3.56417E-4
23270,14.63430686,15.33299344,15.32706469,1.172755875,0.014930208,0.001705833,0.001283583,6.89792E-4
44902,14.8244556,15.33299344,15.33299344,1.98575275,0.012828458,0.001579542,0.001016708,3.72042E-4
58927,14.91090727,15.33299344,15.32706469,2.544571958,0.014485833,0.002578833,0.002214209,6.00416E-4
63820,14.90715931,15.33299344,15.33299344,2.7401985,0.013553209,0.001504083,0.001052208,3.37E-4
88810,15.01238463,15.33299344,15.32706469,3.76295375,0.016813459,0.001725042,0.001056084,3.69709E-4
100000,15.02606353,15.33299344,15.32706469,4.218930916,0.016442791,0.00159825,0.001501708,3.62958E-4
