Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
0,10.0,10.0,14.63842187,0.0,0.039773666,0.015616208,0.004949792,0.012237084
2,10.0,10.0,14.63842187,0.0246775,0.008321583,0.004118333,0.003307084,0.001696417
4,10.0,10.0,14.63842187,0.044076458,0.007454667,0.003436791,0.00386725,0.002006084
7,10.0,10.0,14.63842187,0.062614833,0.007522083,0.003469917,0.002960625,0.0015945
14,10.0,10.0,14.63842187,0.081821291,0.009542334,0.00311575,0.002601041,0.001304333
31,10.0,10.0,15.21180469,0.102415166,0.008449209,0.002883375,0.00318725,0.001571458
33,10.0,10.0,15.21180469,0.118814208,0.008341791,0.00257625,0.00180425,0.001425208
35,10.0,10.0,15.21180469,0.15042425,0.009009416,0.002053875,0.017532583,0.001266333
38,10.0,10.0,15.21180469,0.163173291,0.006938083,0.001826583,0.001545666,9.69375E-4
44,10.0,10.0,15.21180469,0.177117083,0.007324125,0.002472416,0.001627375,8.7275E-4
49,10.0,10.0,15.21180469,0.190926041,0.007511875,0.001893042,0.001860542,8.59E-4
63,10.0,10.0,15.04393477,0.204844875,0.00681325,0.001768834,0.001624875,0.001348166
65,10.0,10.0,15.04393477,0.218823125,0.007593417,0.001872208,0.001500834,8.62792E-4
68,10.0,10.0,15.04393477,0.232298666,0.007060209,0.001821041,0.001741583,8.1125E-4
74,10.0,10.0,15.04393477,0.246137375,0.006677167,0.002127709,0.001606292,0.001067958
79,10.0,10.0,15.21180469,0.261211416,0.008094208,0.002306667,0.001832791,9.4275E-4
87,10.0,10.0,15.04393477,0.273715708,0.0064415,0.002024583,0.001482792,7.41208E-4
89,10.0,10.0,14.63842187,0.285649666,0.006479292,0.001626875,0.001316708,9.79875E-4
117,10.0,10.0,14.30444016,0.298791125,0.006441417,0.001772458,0.00139225,7.9475E-4
121,10.0,10.0,15.04393477,0.309764375,0.006244584,0.001572791,0.00134525,6.63625E-4
130,10.0,10.0,14.30444016,0.321232541,0.006168083,0.001270709,0.001293792,7.29292E-4
134,10.0,10.0,15.21180469,0.332462916,0.006356292,0.001526625,0.001252166,7.70875E-4
139,10.0,10.0,14.30444016,0.344144125,0.006720083,0.001586291,0.001311583,7.61792E-4
157,10.0,10.0,15.26160469,0.356858083,0.006826,0.001700042,0.001404167,7.75291E-4
161,10.0,10.0,15.26160469,0.367883,0.006631625,0.00149675,0.001135125,6.46708E-4
168,10.0,10.0,13.93171094,0.379716083,0.006919292,0.001591917,0.001306542,7.58125E-4
180,10.0,10.0,15.04393477,0.392380291,0.006584958,0.001645125,0.001249708,6.53375E-4
190,10.0,10.0,15.04393477,0.404402958,0.006533833,0.001447916,0.001526792,7.93792E-4
213,10.0,10.0,14.30444016,0.417459375,0.006931125,0.001908625,0.001492459,6.80584E-4
228,10.0,10.0,15.21180469,0.429673333,0.006662042,0.0014445,0.001420333,6.57166E-4
240,10.0,10.0,13.93171094,0.441866875,0.007185875,0.001633042,0.001204292,5.68292E-4
262,10.0,10.0,14.15279578,0.455712416,0.006510541,0.001989458,0.002016375,7.28875E-4
268,10.0,10.0,15.32706469,0.474349,0.011342834,0.002587625,0.001534541,9.57375E-4
271,10.0,10.0,14.15279578,0.488810916,0.007997292,0.001783417,0.002114334,7.94792E-4
279,10.0,10.0,15.04393477,0.500174166,0.006666875,0.001512125,0.001286833,6.19417E-4
309,10.0,10.0,15.21180469,0.513101833,0.007153083,0.001619791,0.00117975,5.73084E-4
336,10.0,10.0,15.05365125,0.525217625,0.006695208,0.001546333,0.001257375,6.2175E-4
339,10.0,10.0,15.05365125,0.53620975,0.00681875,0.001524042,0.001136625,5.81458E-4
343,10.0,10.0,14.30444016,0.547142875,0.006602792,0.00133875,0.001264916,6.36583E-4
391,10.0,10.0,15.05365125,0.561400958,0.006926125,0.001231875,0.001105666,8.07292E-4
408,10.0,10.0,15.26160469,0.572637541,0.006448167,0.001198334,0.001170667,7.22791E-4
430,10.0,10.0,13.93171094,0.584356583,0.0066215,0.001098959,0.001459334,7.02375E-4
447,10.0,10.0,14.29562563,0.595797041,0.007102208,0.001387375,0.001119834,4.55917E-4
466,10.0,10.0,14.3865,0.608508958,0.007343125,0.00152,0.001278166,5.79333E-4
469,10.0,10.0,14.3865,0.618801291,0.006351583,0.001315084,0.001046042,5.195E-4
478,10.0,10.0,15.05365125,0.63064475,0.006446333,0.001332584,0.002007375,6.38166E-4
505,10.0,10.0,14.29562563,0.644721375,0.008000167,0.001753334,0.001324208,5.39416E-4
533,10.0,10.0,15.26160469,0.657669166,0.0064435,0.001974709,0.001343125,8.185E-4
577,10.0,10.0,15.04393477,0.670024208,0.006546208,0.001617292,0.00109,5.32E-4
679,10.19308803,10.6,14.63842187,0.68649625,0.006540875,0.001674916,0.001559,7.20458E-4
722,10.20008725,10.6,14.3865,0.699737083,0.006717916,0.001647375,0.001315084,0.001213167
735,10.21391177,10.6,15.0704625,0.711440166,0.006429042,0.001673542,0.001283208,9.19375E-4
740,10.21391177,10.6,15.0704625,0.72093775,0.006132125,0.001091542,9.90125E-4,3.68375E-4
749,10.21391177,10.6,14.44727,0.737700583,0.006658417,0.007179417,0.001172792,7.475E-4
