Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
0,10.0,10.0,14.63842187,0.0,6.23208E-4,0.001263333,9.90375E-4,3.55834E-4
3,10.0,10.0,15.25204219,0.033798708,0.027720459,0.001420834,0.001232708,4.84416E-4
6,10.0,10.0,15.25204219,0.058109083,0.017711792,0.001309291,0.001041667,4.43875E-4
10,10.0,10.0,15.25204219,0.084699041,0.016755916,0.001347916,0.001260375,4.93875E-4
17,10.0,10.0,15.25204219,0.121303583,0.019522209,0.00143725,0.001205917,3.79E-4
28,10.0,10.0,15.25204219,0.166581958,0.025141625,0.002879958,0.004269458,0.001195625
49,10.0,10.0,15.25204219,0.223505083,0.029127584,0.001663667,9.86292E-4,4.37166E-4
74,11.63105759,14.78811039,15.25204219,0.257474791,0.016876417,0.003166625,0.003903875,0.001005709
112,10.8052033,14.78811039,15.1605,0.293025125,0.022023625,0.001544375,0.00126775,4.35E-4
127,10.8493447,14.78811039,15.25204219,0.332406541,0.019472291,0.001495875,0.001375958,7.71542E-4
203,10.90512347,14.78811039,15.25204219,0.378769125,0.031632791,0.001614583,0.001496041,6.25917E-4
224,11.2437091,14.78811039,15.25204219,0.454848208,0.06247975,0.001615458,0.001343375,5.13458E-4
277,11.7725331,14.78811039,15.25204219,0.486668625,0.016952958,0.001473625,0.001008167,4.17708E-4
330,11.89515071,14.78811039,15.25204219,0.521605416,0.01783,0.001244917,9.13292E-4,3.96125E-4
665,12.66050142,14.85709164,15.31750219,0.57017025,0.02202625,0.001432708,0.001135166,4.98459E-4
743,12.74557411,14.85709164,15.31750219,0.609153416,0.022507458,0.0013905,0.001028542,4.4325E-4
841,13.15200436,15.33299344,15.25204219,0.646738291,0.022248959,0.001251167,9.45333E-4,4.15625E-4
1067,13.16712717,15.33299344,15.31750219,0.689149166,0.022453,0.001351708,9.74083E-4,4.11584E-4
1274,13.69897547,15.33299344,15.31750219,0.727538666,0.018221708,0.001493917,9.8925E-4,4.05083E-4
1324,13.85562727,15.33299344,15.31750219,0.761383833,0.017771542,0.00135525,0.001190041,6.34042E-4
1785,13.57340436,15.33299344,15.31750219,0.817689,0.018026667,0.001279542,9.72375E-4,4.20375E-4
2349,13.88044571,15.33299344,15.31750219,0.874162625,0.019912417,0.001358834,0.001024042,4.10416E-4
3168,14.23709592,15.33299344,15.31750219,0.940436875,0.019072583,0.001279541,9.36959E-4,0.00120225
3625,14.3693128,15.33299344,15.31750219,1.00880125,0.03182725,0.001265583,0.001107209,4.055E-4
5203,14.57968257,15.33299344,15.31750219,1.120333625,0.022347292,0.001287958,9.86834E-4,3.80875E-4
5906,14.70633994,15.33299344,15.31750219,1.191489916,0.022730375,0.0017545,0.00251575,6.15166E-4
7095,14.85652999,15.33299344,15.31750219,1.289239666,0.020957875,0.001365167,0.001104084,8.81E-4
7418,14.84189931,15.33299344,15.31750219,1.341057208,0.019340042,0.001347,0.001009667,3.95708E-4
10083,14.84531493,15.33299344,15.31750219,1.505251083,0.022263417,0.001614833,0.001298125,4.99875E-4
13842,14.88747058,15.33299344,15.33299344,1.728869625,0.0217345,0.001685875,0.001242417,3.82E-4
15799,14.9125323,15.33299344,15.33299344,1.860965666,0.0188975,0.001199083,8.98208E-4,3.5725E-4
21912,14.96277528,15.33299344,15.33299344,2.200855916,0.0290595,0.001496583,0.001036125,3.94375E-4
25035,14.99251848,15.33299344,15.33299344,2.393491166,0.01837575,0.003475958,0.007472459,0.001484166
28932,15.03867401,15.33299344,15.33299344,2.657320666,0.052725417,0.002802833,0.012355125,0.001033958
37493,15.0674621,15.33299344,15.33299344,3.12767625,0.016894125,0.001278083,9.95E-4,3.83292E-4
54161,15.08308727,15.33299344,15.33299344,3.917668291,0.02253275,0.0016805,0.001048167,3.70542E-4
60397,15.11092045,15.33299344,15.33299344,4.269280083,0.051215833,0.001427458,0.00126175,5.2775E-4
79935,15.17739081,15.33299344,15.33299344,5.226689541,0.021820875,0.001693,0.001070791,3.41417E-4
100000,15.19744202,15.33299344,15.33299344,6.221107291,0.023766542,0.001580917,0.001140542,3.30917E-4
