Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
0,10.0,10.0,14.63842187,0.0,5.00917E-4,9.78334E-4,8.34875E-4,2.6E-4
3,10.0,10.0,15.25204219,0.021636958,0.011531792,0.003910042,0.0030365,6.11209E-4
6,10.0,10.0,15.25204219,0.039982875,0.01101975,0.001304625,0.00115875,4.36125E-4
10,10.0,10.0,15.25204219,0.058969458,0.011282833,0.001271375,9.69333E-4,3.41709E-4
17,10.0,10.0,15.25204219,0.083163208,0.015061625,0.00124525,9.86E-4,3.35917E-4
28,10.0,10.0,15.25204219,0.108139,0.012887042,0.003488875,0.001301167,4.20791E-4
49,10.0,10.0,15.25204219,0.133529208,0.010826625,0.0012895,0.001144541,3.75709E-4
74,11.63105759,14.78811039,15.25204219,0.161049167,0.013653083,0.001782667,0.001034875,4.52292E-4
112,10.8052033,14.78811039,15.1605,0.192654583,0.010532875,0.0036615,0.002985791,0.001773875
127,10.8493447,14.78811039,15.25204219,0.220251792,0.013278917,0.001351666,0.001262666,5.32917E-4
203,10.90512347,14.78811039,15.25204219,0.245617417,0.011859916,0.001294542,9.79875E-4,3.88875E-4
224,11.2437091,14.78811039,15.25204219,0.273621708,0.016072833,0.001238875,9.47E-4,3.73333E-4
277,11.7725331,14.78811039,15.25204219,0.296915417,0.010689958,0.001436209,0.001228584,3.76834E-4
330,11.89515071,14.78811039,15.25204219,0.327514667,0.013648833,0.0013955,0.001106833,3.88042E-4
665,12.66050142,14.85709164,15.31750219,0.374546417,0.016103208,0.00162,0.001293584,5.9225E-4
743,12.74557411,14.85709164,15.31750219,0.414186958,0.013504667,0.001612583,0.00488875,6.73042E-4
841,13.15200436,15.33299344,15.25204219,0.447138458,0.013814584,0.002690208,0.002903,5.94166E-4
1067,13.16712717,15.33299344,15.31750219,0.49185875,0.017040667,0.002616666,0.00363125,0.001826167
1274,13.69897547,15.33299344,15.31750219,0.529236208,0.012085792,0.001316167,0.001021875,3.83875E-4
1324,13.85562727,15.33299344,15.31750219,0.565116375,0.019444,0.001292583,0.001041292,3.78417E-4
1785,13.57340436,15.33299344,15.31750219,0.610750208,0.012689,0.001562,0.001178708,4.06E-4
2349,13.88044571,15.33299344,15.31750219,0.662809333,0.012609084,0.001346625,0.001080292,4.12792E-4
3168,14.23709592,15.33299344,15.31750219,0.722157958,0.0110915,0.0012615,9.94459E-4,4.22E-4
3625,14.3693128,15.33299344,15.31750219,0.774724083,0.0192675,0.001426959,0.001064875,5.16417E-4
5203,14.57968257,15.33299344,15.31750219,0.867863792,0.01141925,0.001380042,9.66958E-4,3.53542E-4
5906,14.70633994,15.33299344,15.31750219,0.926844875,0.011323,0.001291375,0.002692666,0.0020915
7095,14.85652999,15.33299344,15.31750219,1.074999375,0.023323708,0.002749208,0.002090041,0.003815958
7418,14.84189931,15.33299344,15.31750219,1.129740375,0.017498709,0.001422666,0.001256333,5.68E-4
10083,14.84531493,15.33299344,15.31750219,1.270298625,0.015631375,0.001351833,0.001028584,3.77334E-4
13842,14.88747058,15.33299344,15.33299344,1.468202417,0.012058,0.001221417,9.99E-4,3.39083E-4
15799,14.9125323,15.33299344,15.33299344,1.615919333,0.015852958,0.00214725,0.002489375,9.31208E-4
21912,14.96277528,15.33299344,15.33299344,1.921405625,0.011924833,0.003570916,0.005731791,0.001075375
25035,14.99251848,15.33299344,15.33299344,2.087833542,0.011484333,0.001229458,9.10917E-4,3.36458E-4
28932,15.03867401,15.33299344,15.33299344,2.293010292,0.010415458,0.001296959,0.001070042,0.003111667
37493,15.0674621,15.33299344,15.33299344,2.750783,0.0174315,0.003768958,0.004505167,5.53666E-4
54161,15.08308727,15.33299344,15.33299344,3.563485625,0.011551083,0.001730083,0.004276458,0.003976583
60397,15.11092045,15.33299344,15.33299344,3.889950417,0.016872084,0.002587209,0.00106825,4.04125E-4
79935,15.17739081,15.33299344,15.33299344,4.848442458,0.011288,0.001312292,9.84458E-4,3.32458E-4
100000,15.19744202,15.33299344,15.33299344,6.845204708,0.047247209,0.022873375,0.00271575,6.63833E-4
