Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
0,10.0,10.0,14.63842187,0.0,0.003385667,0.004113834,0.002785292,9.08166E-4
3,10.0,10.0,15.25204219,0.03653225,0.022772917,0.003682542,0.0018025,7.90333E-4
6,10.0,10.0,15.25204219,0.06598875,0.01936375,0.001790375,8.22625E-4,5.45667E-4
10,10.0,10.0,15.25204219,0.097429875,0.022616042,0.001266125,7.08667E-4,5.82959E-4
17,10.0,10.0,15.25204219,0.149659,0.033582417,0.00182125,8.47917E-4,7.32708E-4
28,10.0,10.0,15.25204219,0.233083,0.064092791,0.003218042,0.002972584,7.5575E-4
49,10.0,10.0,15.25204219,0.288560833,0.023822709,0.001034791,0.00315225,0.00164625
74,11.63105759,14.78811039,15.25204219,0.326538542,0.02259625,0.001778542,0.001990333,7.72958E-4
112,10.8052033,14.78811039,15.1605,0.387249125,0.038943042,0.002684583,0.00333225,9.70625E-4
127,10.8493447,14.78811039,15.25204219,0.426016167,0.02089825,0.001090125,9.0775E-4,0.001825958
203,10.90512347,14.78811039,15.25204219,0.479301125,0.019725833,0.01028925,0.001939042,9.16709E-4
224,11.2437091,14.78811039,15.25204219,0.528129833,0.023972083,0.001029667,6.61917E-4,5.62541E-4
277,11.7725331,14.78811039,15.25204219,0.56465,0.015399083,0.0011965,6.33584E-4,6.88125E-4
330,11.89515071,14.78811039,15.25204219,0.599252542,0.02115675,0.001158583,6.85125E-4,5.30834E-4
665,12.66050142,14.85709164,15.31750219,0.639910625,0.013806042,0.001024083,6.15334E-4,4.36875E-4
743,12.74557411,14.85709164,15.31750219,0.670553417,0.010930041,8.92292E-4,6.63917E-4,6.07E-4
841,13.15200436,15.33299344,15.25204219,0.70148075,0.013281042,9.90542E-4,7.24708E-4,4.34625E-4
1067,13.16712717,15.33299344,15.31750219,0.736803375,0.011973,0.001109917,6.58542E-4,4.57791E-4
1274,13.69897547,15.33299344,15.31750219,0.782606625,0.01535125,0.001204125,7.7125E-4,5.19792E-4
1324,13.85562727,15.33299344,15.31750219,0.817265792,0.01318275,0.001105958,5.77458E-4,3.87709E-4
1785,13.57340436,15.33299344,15.31750219,0.860336292,0.012207917,0.001067583,5.58291E-4,5.91167E-4
2349,13.88044571,15.33299344,15.31750219,0.956960917,0.028352,0.002249417,0.001794958,5.83834E-4
3168,14.23709592,15.33299344,15.31750219,1.03052275,0.01273625,9.86583E-4,5.81416E-4,4.24458E-4
3625,14.3693128,15.33299344,15.31750219,1.076463083,0.011415875,9.14166E-4,0.001239208,4.15875E-4
5203,14.57968257,15.33299344,15.31750219,1.180268958,0.013744291,0.002046417,0.001756041,6.00459E-4
5906,14.70633994,15.33299344,15.31750219,1.25073425,0.019990292,0.001792292,0.001400084,7.53042E-4
7095,14.85652999,15.33299344,15.31750219,1.343242708,0.013992375,0.001026041,5.31083E-4,4.2525E-4
7418,14.84189931,15.33299344,15.31750219,1.429400708,0.043978458,0.0010955,9.08458E-4,6.48333E-4
10083,14.84531493,15.33299344,15.31750219,1.573539625,0.015310084,0.004206333,9.69E-4,5.02833E-4
13842,14.88747058,15.33299344,15.33299344,1.805996042,0.010870833,8.97959E-4,5.30208E-4,3.97E-4
15799,14.9125323,15.33299344,15.33299344,1.913528,0.01112775,8.37792E-4,4.92584E-4,4.05209E-4
21912,14.96277528,15.33299344,15.33299344,2.206023125,0.010984792,9.06584E-4,6.61292E-4,4.30334E-4
25035,14.99251848,15.33299344,15.33299344,2.359356958,0.011428167,9.04292E-4,4.84291E-4,7.50542E-4
28932,15.03867401,15.33299344,15.33299344,2.55946975,0.011413875,8.6825E-4,5.20667E-4,4.13667E-4
37493,15.0674621,15.33299344,15.33299344,2.939858875,0.010010625,8.32166E-4,4.85333E-4,3.52084E-4
54161,15.08308727,15.33299344,15.33299344,3.694492875,0.037265,0.001437,6.48917E-4,4.01416E-4
60397,15.11092045,15.33299344,15.33299344,4.043023708,0.014248458,0.001086625,6.17458E-4,4.33E-4
79935,15.17739081,15.33299344,15.33299344,6.130028292,0.029045834,0.007578459,0.002411083,0.003278666
100000,15.19744202,15.33299344,15.33299344,7.265872292,0.013583209,8.11583E-4,5.58417E-4,3.55E-4
