Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,10.0,10.0,19.37413051,10.0,0.144185791,0.10865,0.008188083,0.007080709,0.001370709,0.01283892,58.11576032
9,10.0,10.0,19.37413051,10.0,0.308700625,0.078678334,0.017099958,0.01116,0.001626042,0.01283892,58.11576032
15,10.0,10.0,19.37413051,10.0,0.550124041,0.13715225,0.020833625,0.019914458,0.001449917,0.21730908,58.11575997
52,10.0,10.0,19.9032878,10.0,0.68048125,0.063323458,0.00696025,0.0062605,0.001198,4.13811598,40.44142257
64,10.0,10.0,19.89314224,10.0,0.811927916,0.059516334,0.007322708,0.010571167,0.001321375,4.91025697,37.02415708
102,10.0,10.0,19.90399312,10.0,0.943531583,0.062194375,0.011619375,0.006722625,0.001348875,7.09160089,32.89546605
148,10.11367816,18.9523221,19.92963951,25.99111401,2.044694875,0.684030917,0.107406125,0.097364125,0.021166667,8.54903751,29.3346095
178,10.99734147,18.9523221,19.92963951,25.63157065,2.320718333,0.104826333,0.016211125,0.029925334,0.002045333,9.62280534,28.86218935
266,12.0624047,18.9523221,19.92963951,24.04460954,2.568720958,0.128646042,0.018963583,0.009393708,0.001291416,10.94751472,26.7664763
389,13.50368761,18.9523221,19.92963951,23.661574,2.761593208,0.078082417,0.017475959,0.007539375,0.001031084,12.78281765,26.258357
763,15.37178694,19.86815186,19.92963951,24.51673538,2.970573666,0.061975417,0.008144583,0.009052459,0.001215917,15.10485694,25.01033279
1070,16.14295927,19.88407728,19.92963951,23.96893262,3.232124958,0.123013875,0.019996167,0.010900416,0.001170917,15.93525879,24.38162372
1464,16.45930642,19.88407728,19.94647666,23.18349399,3.438643041,0.060256791,0.008587,0.006801542,0.001191292,16.27589097,23.5343972
1542,16.66641246,19.89099708,19.94647666,23.25086961,3.594141458,0.062348333,0.01250275,0.007577583,0.001085625,16.49896448,23.59046535
1871,17.06679605,19.89835358,19.94647666,23.08948917,3.77204425,0.071655583,0.007710042,0.0065885,0.001060041,16.92911672,23.4002682
3039,17.54708916,19.89835358,19.95416008,22.29122064,4.018048208,0.067135791,0.008169834,0.008784041,0.001000292,17.44478038,22.54297316
3464,17.65568185,19.89835358,19.96026481,22.10718562,4.216610666,0.067147875,0.010170875,0.010312125,0.001208083,17.56139984,22.34526932
4593,18.07665149,19.89835358,19.96026481,21.98440058,4.531394125,0.063418959,0.010571208,0.017563167,0.001470083,18.0135744,22.21335379
6325,18.28605131,19.89835358,19.96026481,21.63763814,4.824675291,0.058870291,0.007597333,0.006683208,0.001007625,18.23854244,21.84076308
7306,18.57081963,19.9050651,19.96026481,21.72363625,5.123453125,0.105207542,0.011367417,0.014819875,0.001087041,18.5444793,21.91713642
9389,18.8258919,19.96956514,19.96026481,21.7582998,5.492612375,0.055103292,0.007086417,0.011316875,0.001089667,18.80562606,21.79618016
15614,19.09893074,19.96956514,19.96381446,21.38976031,6.309486208,0.06662975,0.00696875,0.006462417,0.001836542,19.08384326,21.42006939
22084,19.21624485,19.96956514,19.96381446,21.14948336,7.170036583,0.059014667,0.007419791,0.006667125,0.003202083,19.20339952,21.17489031
31055,19.34589113,19.96956514,19.96880275,20.98496809,8.34519825,0.064511792,0.007517583,0.006635834,9.87875E-4,19.33553535,21.00703513
46542,19.42495985,19.96956514,19.96937947,20.77207078,10.189472208,0.063625292,0.006611875,0.006175125,0.001004667,19.41612832,20.78983661
70219,19.54675327,19.96956514,19.96937947,20.65192961,13.361397208,0.122792583,0.021061042,0.010727375,0.001232875,19.54027822,20.66727901
80062,19.58597292,19.96956514,19.96937947,20.62346601,14.733947291,0.056772917,0.006976208,0.007814334,0.001005833,19.58025888,20.63824409
100000,19.61167395,19.96956514,19.96937947,20.54273247,17.059084333,0.070247292,0.015999041,0.007891417,0.001433708,19.6064592,20.55589254
