Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,10.0,10.0,17.6198833,10.0,0.036758291,0.01023,0.008474417,0.010547625,0.001238083,0.0,96.01016591
12,10.0,10.0,19.18361114,10.0,0.108578541,0.0339895,0.019456042,0.007768583,0.001111417,0.0,75.52257045
18,10.0,10.0,19.18361114,10.0,0.172396041,0.031291083,0.008513792,0.015438083,0.0016775,0.27334297,68.81750075
23,10.0,10.0,19.19661296,10.0,0.242484541,0.037384625,0.0113845,0.009742667,0.001138125,1.06380251,62.34220969
45,10.0,10.0,19.81947051,10.0,0.315129791,0.043356333,0.012706417,0.008436583,0.001279916,2.67046104,46.3155289
59,10.0,10.0,19.83358616,10.0,0.401114916,0.045755125,0.014962708,0.012142667,0.001408084,3.41690302,38.06001339
88,10.0,10.0,19.81845604,10.0,0.541102333,0.109916,0.008906042,0.011095584,0.001286166,4.68348826,32.96201891
111,10.20979565,15.97022758,19.8984512,20.74598301,0.614814875,0.040661167,0.013295083,0.007491375,0.001498084,6.47514221,32.41113685
176,11.60125608,15.97022758,19.92963951,19.68072532,0.695934666,0.047947667,0.009860084,0.007137292,0.001322166,8.2370899,28.22702821
182,11.51380964,15.97022758,19.91949395,19.51541229,0.770291125,0.047140917,0.007619667,0.0098715,0.001287709,8.57568932,28.31909162
208,12.128195,15.97022758,19.92902734,19.61674554,0.85670475,0.053474292,0.008853625,0.010406542,0.001855583,8.64160376,26.64784477
274,12.32457935,15.97022758,19.96026481,18.90907644,0.941680833,0.052792416,0.010752167,0.007617083,0.001339959,9.89024617,25.98701093
390,13.92903611,18.50661625,19.90230678,24.30863013,1.024521625,0.049059916,0.011091292,0.006655541,0.001562292,11.69276951,25.3849617
446,14.96437948,18.01294848,19.88680595,24.30806666,1.11575275,0.062342708,0.00755375,0.010181125,0.001382916,12.71353554,25.81896541
585,15.04971574,18.56249175,19.95299565,23.20870509,1.202191083,0.045949458,0.008780125,0.010914375,0.001479334,13.63478999,25.21038623
969,16.14755064,18.5681811,19.96234981,22.47156709,1.317459416,0.049076958,0.012323167,0.010658916,0.001431083,15.70915287,24.90055666
1407,16.11212819,19.70166756,19.96854861,22.96725577,1.443381833,0.0578555,0.008437667,0.007223625,0.001242167,15.92345036,23.48238768
1616,16.7721284,19.71877903,19.96127945,23.29841366,1.543326833,0.057068542,0.007868584,0.008053083,0.003783459,16.62291814,23.75204619
3217,17.41939512,19.92885381,19.96854861,22.26273665,1.781175791,0.055318541,0.012407042,0.010112625,0.001595959,17.36210064,22.36492312
4783,17.80364451,19.95645911,19.96942334,21.80603913,2.024824208,0.065738708,0.008315541,0.008630666,0.001227667,17.75932269,21.85410046
6749,18.30794007,19.94533314,19.9707721,21.67263873,3.127012125,0.082322125,0.017715958,0.012115791,0.001351084,18.26092857,21.71780773
8304,18.57576793,19.94377009,19.96758845,21.61836637,3.412028458,0.069390875,0.007956958,0.01522925,0.001356208,18.5274292,21.65139777
11592,18.80352496,19.93190764,19.96381446,21.36818617,3.93448825,0.060378458,0.007943333,0.007367459,0.001175541,18.75107264,21.39529806
15693,18.94249707,19.94838697,19.96880275,21.15573272,4.459641583,0.058188584,0.007099875,0.006677666,0.002088833,18.90273782,21.17482923
21163,19.13100395,19.94838697,19.96758845,21.0400978,5.183205166,0.062933625,0.011759208,0.008764417,0.001567208,19.10134758,21.06170524
25174,19.14060483,19.94838697,19.96345693,20.88488596,5.742917083,0.056757167,0.013931333,0.010314875,0.001300375,19.09889873,20.89003786
32231,19.20927498,19.94838697,19.96381446,20.75280287,6.641841833,0.056976375,0.007223708,0.012957125,0.001242416,19.17810574,20.76376809
42374,19.37607032,19.95058142,19.96259279,20.73798284,7.930435916,0.065490083,0.012882583,0.00833275,0.001233917,19.35206261,20.73932312
57632,19.42342878,19.95058142,19.96259279,20.59096853,9.601434,0.068440292,0.008734084,0.006867708,0.001083417,19.40411016,20.59371319
69591,19.52048284,19.95471086,19.96259279,20.58578477,10.923243416,0.066358375,0.011679,0.008375458,0.001012542,19.50126415,20.58461725
100000,19.56353505,19.96336077,19.96937947,20.44958335,14.941913833,0.081497583,0.016711666,0.008785709,0.002485,19.55336893,20.45683104
