Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,10.0,10.0,17.6198833,10.0,0.078168917,0.029932375,0.010066,0.009140125,0.004283375,0.0,99.97006059
12,10.0,10.0,18.71478414,10.0,0.1450495,0.027425875,0.010039542,0.009850708,0.003314,0.0,99.97006059
17,10.0,10.0,18.71478414,10.0,0.202559084,0.025737083,0.00840025,0.008078584,0.002672458,0.0,99.53389852
22,10.0,10.0,18.71478414,10.0,0.254829834,0.023933833,0.007665667,0.007391375,0.00226375,0.0,99.71443081
32,10.0,10.0,17.6198833,10.0,0.333555042,0.030732834,0.00871375,0.008779292,0.004232917,0.0,99.20236797
74,10.0,10.0,18.93705426,10.0,0.415547667,0.036951209,0.011827083,0.012567625,0.001990459,0.0,99.20238514
84,10.0,10.0,19.11688827,10.0,0.470711375,0.024239375,0.008666208,0.007359083,0.002128291,1.0E-8,97.71430021
97,10.0,10.0,18.71478414,10.0,0.527509917,0.023621375,0.007950667,0.009642917,0.002440209,1.0E-8,97.71428232
140,10.0,10.0,18.29860421,10.0,0.600278625,0.033310667,0.009602417,0.010897,0.002475542,8.2E-7,96.29013769
152,10.0,10.0,19.11688827,10.0,0.65125875,0.025098416,0.0081325,0.006615584,0.0016185,8.3E-7,96.29008881
172,10.0,10.0,18.26254614,10.0,0.710295417,0.026282625,0.007960916,0.014459625,0.001441166,9.3E-7,96.2900381
190,10.0,10.0,17.06766212,10.0,0.785999417,0.02245775,0.016059792,0.025390459,0.001803667,1.46E-6,96.26268166
216,10.0,10.0,18.25434391,10.0,0.837508375,0.023807208,0.008687292,0.008354083,0.00150425,7.819E-5,95.80144047
240,10.0,10.0,19.01667293,10.0,0.884114209,0.021586208,0.007874583,0.007204708,0.001306208,8.082E-5,95.80038529
263,10.0,10.0,19.03118888,10.0,0.934376084,0.022512834,0.007545458,0.0080015,0.001517708,8.107E-5,95.80038103
275,10.0,10.0,19.44080667,10.0,0.987579167,0.024349042,0.008552292,0.008385875,0.002598833,8.28E-5,94.98250683
286,10.0,10.0,17.99556012,10.0,1.038021084,0.02444075,0.00827775,0.007936417,0.001292875,1.2669E-4,94.76154667
304,10.0,10.0,19.04251417,10.0,1.085774,0.02342075,0.00716425,0.007064,0.001224583,1.7315E-4,94.62281066
348,10.0,10.0,18.67311471,10.0,1.133781375,0.023177166,0.006806625,0.007037,0.00136675,0.00240946,90.75993982
362,10.0,10.0,18.29355947,10.0,1.180120375,0.022747791,0.007212209,0.007203167,0.001333125,0.0034363,90.77974019
385,10.0,10.0,19.31958652,10.0,1.231397417,0.024102833,0.00811425,0.009162292,0.00146975,0.00337938,90.58169059
415,10.0,10.0,18.66003487,10.0,1.279386709,0.023358583,0.007644208,0.007556208,0.001162292,0.00403163,90.30910448
451,10.0,10.0,18.57666474,10.0,1.325355042,0.022976541,0.006918208,0.006466666,0.001089166,0.00479083,90.17188599
482,10.0,10.0,19.09598802,10.0,1.378832417,0.023600292,0.007354959,0.006439584,0.001158667,0.00596649,90.07323641
589,10.0,10.0,18.80232511,10.0,1.4340715,0.023753208,0.008466667,0.007238708,0.001241791,0.01063957,89.64856959
659,10.0,10.0,18.24557919,10.0,1.484580709,0.023990209,0.008035292,0.007454875,0.001138167,0.02316194,89.18644436
881,10.0,10.0,18.28052459,10.0,1.545338,0.024769583,0.007143125,0.006638333,0.001002125,0.04260804,88.82282671
932,10.0,10.0,19.51396204,10.0,1.592419625,0.022763917,0.006694417,0.006418292,0.001156959,0.05939034,88.59293039
963,10.0,10.0,18.76556957,10.0,1.640144834,0.024742083,0.007577,0.006829958,0.001146667,0.06498143,87.91049492
977,10.0,10.0,19.54426342,10.0,1.690201834,0.025594458,0.008679708,0.007122208,0.0011195,0.06477988,87.820903
1084,10.0,10.0,18.68887474,10.0,1.75070325,0.023916708,0.007143791,0.007036208,0.00101075,0.24779458,83.00024629
1112,10.0,10.0,18.80690997,10.0,1.796689417,0.023571625,0.006903125,0.007052084,0.0011585,0.25611942,82.85838263
1150,10.0,10.0,19.27009808,10.0,1.854309167,0.024640583,0.009085333,0.009080541,0.001569542,0.25793395,82.75862201
1177,10.0,10.0,19.45145926,10.0,1.902724542,0.02506475,0.007752834,0.006662875,0.001221083,0.26785674,82.36440806
1192,10.0,10.0,18.66506374,10.0,1.955427875,0.023875959,0.007483041,0.006712875,0.001083083,0.27501196,82.33667048
1201,10.0,10.0,19.24888969,10.0,1.99949,0.023907709,0.007084334,0.00634525,9.71333E-4,0.27651084,82.3248007
1251,10.0,10.0,18.38245009,10.0,2.047544209,0.024236875,0.007499542,0.006948208,0.001120084,0.29594495,82.05074785
1413,10.0,10.0,18.52909595,10.0,2.103198959,0.024715333,0.007924542,0.0089685,0.001043791,0.35851079,81.46859192
1477,10.0,10.0,18.67924251,10.0,2.151789417,0.024956458,0.00749725,0.006919959,0.001019958,0.36416453,81.37045192
