Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,10.0,10.0,19.37413051,10.0,0.185954042,0.139047625,0.020167917,0.00943775,0.00259025,0.01283893,58.11575924
9,10.0,10.0,19.4128746,10.0,0.303024792,0.062090583,0.0069595,0.008897833,0.001223125,0.70747752,55.82651601
15,10.0,10.0,19.8762973,10.0,0.416940083,0.060843833,0.008634542,0.007133583,0.001324125,1.96755868,45.65257589
30,10.0,10.0,19.90399312,10.0,0.649871958,0.15244025,0.01012075,0.008945292,0.001607,5.1768184,34.65280279
49,10.0,10.0,19.92963951,10.0,0.806296458,0.0685195,0.007782833,0.010660083,0.001525,6.57515212,26.67180198
69,10.0,10.0,19.92963951,10.0,0.937857375,0.067499958,0.007510708,0.012036875,0.001315625,7.465415,26.03643007
98,10.67503494,18.9523221,19.92963951,22.92995632,1.067007667,0.054046958,0.007260875,0.013822292,0.0020305,9.22826441,25.28574302
175,12.36059298,18.9523221,19.9391729,21.78528267,1.220726917,0.065732875,0.010779333,0.007324083,0.001385541,11.32356414,23.75951775
250,13.46680923,18.9523221,19.94969472,20.9993386,1.368965458,0.071359,0.012786041,0.008332792,0.001265584,12.73534323,22.70932408
327,14.8346382,19.0859567,19.94969472,21.34036566,1.510674333,0.064957917,0.009076375,0.00755525,0.001381417,14.47383208,22.92027081
392,15.03637701,19.20641654,19.9391729,22.08096822,1.643960375,0.051132292,0.011742917,0.007847,0.001300708,14.72545598,23.63540323
584,16.13414431,19.88407728,19.94647666,23.02694064,1.827811,0.087097084,0.012467916,0.010612542,0.001034292,15.92576974,23.36546041
1043,17.14928236,19.89835358,19.94969472,22.34719339,2.007087375,0.061543583,0.011549666,0.007217625,0.001227,17.01766132,22.60309908
1769,17.90778263,19.89835358,19.96026481,21.94635845,2.2091365,0.054228417,0.009246292,0.008198084,0.00184275,17.83217202,22.1724811
2012,17.91188205,19.89835358,19.96026481,21.70199093,2.398510167,0.064965125,0.015683875,0.015829,0.004080791,17.83657545,21.90991354
2725,18.05864763,19.89835358,19.96345693,21.32483755,2.598421083,0.05683775,0.007868917,0.012752208,0.001011375,17.99423334,21.50461718
3603,18.16608164,19.89835358,19.96381446,21.02965969,2.839913292,0.05198925,0.01614175,0.00752375,0.001262959,18.10964999,21.18737642
4248,18.3088984,19.89835358,19.96381446,20.95344454,3.059797917,0.069994583,0.008455333,0.009807916,0.00116325,18.26308978,21.10546033
5944,18.64495452,19.96956514,19.96880275,21.0192715,3.355130125,0.05905275,0.006908875,0.007251458,0.001231208,18.62128893,21.04203381
7532,19.05603541,19.96956514,19.96381446,21.18442754,3.658617083,0.053423375,0.008832667,0.007979042,0.001199208,19.04013064,21.21054567
9489,19.26593048,19.96956514,19.96381446,21.16406718,4.003172375,0.055027416,0.0087265,0.008378041,0.0012835,19.25403781,21.18977087
11481,19.40445301,19.96956514,19.96381446,21.13459923,4.349500833,0.054895791,0.007502458,0.006755583,0.001017125,19.39522573,21.15970345
18137,19.4639147,19.96956514,19.96937947,20.8400864,5.182505125,0.056993916,0.007426083,0.006596125,0.001081375,19.45583574,20.85922374
20708,19.56718718,19.96956514,19.96937947,20.85957857,5.623067833,0.0566575,0.009972541,0.0153845,0.001016042,19.56110849,20.87910943
32091,19.66836782,19.96956514,19.96937947,20.71351123,6.985290708,0.046338125,0.006823541,0.006361375,9.99792E-4,19.664256,20.73009825
46156,19.78349876,19.97027872,19.96937947,20.49135928,8.611132292,0.088187,0.010014375,0.006559083,0.001248708,19.781421,20.50131461
68816,19.86937848,19.97027872,19.96937947,20.36464171,11.089798792,0.056769042,0.008904625,0.006727958,0.002477666,19.86874556,20.3724228
94503,19.8476026,19.97027872,19.96937947,20.36903286,14.637400958,0.058644625,0.008901875,0.006811166,0.001306917,19.84660292,20.37688915
100000,19.85976105,19.97027872,19.96937947,20.3778091,15.441638875,0.057157084,0.011532791,0.00634475,9.97708E-4,19.85896612,20.38581572
