Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,10.0,10.0,19.37413051,10.0,0.074390125,0.038143,0.006957541,0.00944975,0.001248583,0.01283893,58.11575924
9,10.0,10.0,19.4128746,10.0,0.186301292,0.043112583,0.008146916,0.015169916,0.004702917,0.70747752,55.82651601
15,10.0,10.0,19.8762973,10.0,0.351020708,0.081553166,0.011366083,0.0120005,0.001782708,1.96755868,45.65257589
30,10.0,10.0,19.90399312,10.0,0.478531833,0.051266,0.013544667,0.010568083,0.001178625,5.1768184,34.65280279
49,10.0,10.0,19.92963951,10.0,0.57944975,0.035086375,0.010283084,0.007529709,0.001897667,6.57515212,26.67180198
69,10.0,10.0,19.92963951,10.0,0.689292333,0.037408666,0.012447666,0.006904459,0.001212125,7.465415,26.03643007
98,10.67503494,18.9523221,19.92963951,22.92995632,0.784087208,0.03012225,0.006737625,0.010370458,0.001316583,9.22826441,25.28574302
175,12.36059298,18.9523221,19.9391729,21.78528267,0.916358458,0.043172417,0.011242958,0.012305041,0.004276292,11.32356414,23.75951775
250,13.46680923,18.9523221,19.94969472,20.9993386,1.057166292,0.033746292,0.017584375,0.0076905,0.001401041,12.73534323,22.70932408
327,14.8346382,19.0859567,19.94969472,21.34036566,1.163264667,0.032235292,0.009947875,0.006955,0.001043666,14.47383208,22.92027081
392,15.03637701,19.20641654,19.9391729,22.08096822,1.28143175,0.03836225,0.00951475,0.007265042,0.001187708,14.72545598,23.63540323
584,16.13414431,19.88407728,19.94647666,23.02694064,1.406144917,0.038034875,0.006941375,0.006210333,9.92583E-4,15.92576974,23.36546041
1043,17.14928236,19.89835358,19.94969472,22.34719339,1.567279625,0.033794542,0.010870667,0.006913125,0.001186584,17.01766132,22.60309908
1769,17.90778263,19.89835358,19.96026481,21.94635845,1.756703917,0.050325375,0.012753875,0.007470417,0.001283,17.83217202,22.1724811
2012,17.91188205,19.89835358,19.96026481,21.70199093,1.90614,0.0409485,0.006951917,0.011302625,0.001127875,17.83657545,21.90991354
2725,18.05864763,19.89835358,19.96345693,21.32483755,2.106428167,0.034419333,0.00888,0.007262583,0.001104166,17.99423334,21.50461718
3603,18.16608164,19.89835358,19.96381446,21.02965969,2.314509875,0.036372584,0.00710275,0.011833584,0.001237958,18.10964999,21.18737642
4248,18.3088984,19.89835358,19.96381446,20.95344454,2.508377333,0.038929167,0.008633083,0.010919666,0.001058542,18.26308978,21.10546033
5944,18.64495452,19.96956514,19.96880275,21.0192715,2.809914542,0.043826875,0.008685542,0.007442042,0.001330542,18.62128893,21.04203381
7532,19.05603541,19.96956514,19.96381446,21.18442754,3.099440208,0.042826958,0.009017541,0.010603291,0.001055666,19.04013064,21.21054567
9489,19.26593048,19.96956514,19.96381446,21.16406718,3.415043375,0.032519375,0.008940792,0.0064915,0.003074625,19.25403781,21.18977087
11481,19.40445301,19.96956514,19.96381446,21.13459923,3.739587875,0.036440041,0.007047709,0.006209625,0.001023042,19.39522573,21.15970345
18137,19.4639147,19.96956514,19.96937947,20.8400864,4.542276708,0.034243583,0.010459125,0.006074416,9.5575E-4,19.45583574,20.85922374
20708,19.56718718,19.96956514,19.96937947,20.85957857,4.958102417,0.034813166,0.010158125,0.009839291,0.001055959,19.56110849,20.87910943
32091,19.66836782,19.96956514,19.96937947,20.71351123,6.347693792,0.03357275,0.006391792,0.0058615,0.001056291,19.664256,20.73009825
46156,19.78349876,19.97027872,19.96937947,20.49135928,7.951614333,0.032502,0.0091995,0.008596291,0.001022708,19.781421,20.50131461
68816,19.86937848,19.97027872,19.96937947,20.36464171,10.466565333,0.050405417,0.008291375,0.00654175,0.001148291,19.86874556,20.3724228
94503,19.8476026,19.97027872,19.96937947,20.36903286,14.070459125,0.035359917,0.033048875,0.007334333,0.002211958,19.84660292,20.37688915
100000,19.85976105,19.97027872,19.96937947,20.3778091,14.832958833,0.035291708,0.006757375,0.0072345,9.97458E-4,19.85896612,20.38581572
