Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,10.0,10.0,19.37413051,10.0,0.139545125,0.070832375,0.014669917,0.016621333,0.002117875,0.01283893,58.11575924
9,10.0,10.0,19.4128746,10.0,0.241953417,0.049555792,0.005559334,0.006836916,0.001852708,0.70747752,55.82651601
15,10.0,10.0,19.8762973,10.0,0.3324445,0.0396685,0.005912208,0.003659209,0.001549458,1.96755868,45.65257589
30,10.0,10.0,19.90399312,10.0,0.433755708,0.047302958,0.006270959,0.004192416,0.001589208,5.1768184,34.65280279
49,10.0,10.0,19.92963951,10.0,0.540241167,0.040550917,0.005715292,0.011124167,0.001438708,6.57515212,26.67180198
69,10.0,10.0,19.92963951,10.0,0.651038292,0.038481292,0.014421917,0.004434375,0.00158225,7.465415,26.03643007
98,10.67503494,18.9523221,19.92963951,22.92995632,0.744268708,0.034635375,0.004392291,0.003571708,0.00401925,9.22826441,25.28574302
175,12.36059298,18.9523221,19.9391729,21.78528267,0.842556417,0.039216333,0.004875625,0.003828667,0.00170825,11.32356414,23.75951775
250,13.46680923,18.9523221,19.94969472,20.9993386,0.949127125,0.034916708,0.004085708,0.004129166,0.001404125,12.73534323,22.70932408
327,14.8346382,19.0859567,19.94969472,21.34036566,1.065445625,0.056048083,0.003276292,0.00356575,0.001200459,14.47383208,22.92027081
392,15.03637701,19.20641654,19.9391729,22.08096822,1.168304125,0.034790125,0.003217958,0.003368541,0.001057375,14.72545598,23.63540323
584,16.13414431,19.88407728,19.94647666,23.02694064,1.279881333,0.031560625,0.00391175,0.006660792,0.001029167,15.92576974,23.36546041
1043,17.14928236,19.89835358,19.94969472,22.34719339,1.424192667,0.034198125,0.003753208,0.003133041,0.0025925,17.01766132,22.60309908
1769,17.90778263,19.89835358,19.96026481,21.94635845,1.579328125,0.0310325,0.003246333,0.003010583,9.77125E-4,17.83217202,22.1724811
2012,17.91188205,19.89835358,19.96026481,21.70199093,1.70449725,0.028221375,0.004174125,0.004190916,0.001091083,17.83657545,21.90991354
2725,18.05864763,19.89835358,19.96345693,21.32483755,1.870081292,0.036894875,0.00325175,0.00267,9.64875E-4,17.99423334,21.50461718
3603,18.16608164,19.89835358,19.96381446,21.02965969,2.048124917,0.033180208,0.003126958,0.002647917,0.001048084,18.10964999,21.18737642
4248,18.3088984,19.89835358,19.96381446,20.95344454,2.217132583,0.028232875,0.006776333,0.003699709,0.001031167,18.26308978,21.10546033
5944,18.64495452,19.96956514,19.96880275,21.0192715,2.509254,0.034228875,0.006068625,0.003185125,9.42375E-4,18.62128893,21.04203381
7532,19.05603541,19.96956514,19.96381446,21.18442754,2.793049417,0.034501334,0.003168833,0.002608334,0.003140792,19.04013064,21.21054567
9489,19.26593048,19.96956514,19.96381446,21.16406718,3.095947792,0.038508958,0.003381125,0.00254925,9.63625E-4,19.25403781,21.18977087
11481,19.40445301,19.96956514,19.96381446,21.13459923,3.403831333,0.030634209,0.003207042,0.007203917,0.00109475,19.39522573,21.15970345
18137,19.4639147,19.96956514,19.96937947,20.8400864,4.191768375,0.033433041,0.002980625,0.002689791,0.001046416,19.45583574,20.85922374
20708,19.56718718,19.96956514,19.96937947,20.85957857,4.564546875,0.037137958,0.0035135,0.002921625,0.001073458,19.56110849,20.87910943
32091,19.66836782,19.96956514,19.96937947,20.71351123,5.975706167,0.03725175,0.003136834,0.002574459,9.9625E-4,19.664256,20.73009825
46156,19.78349876,19.97027872,19.96937947,20.49135928,7.72804875,0.0323115,0.00539175,0.002757791,0.001019083,19.781421,20.50131461
68816,19.86937848,19.97027872,19.96937947,20.36464171,10.201134125,0.032590917,0.003716,0.005241875,0.001112958,19.86874556,20.3724228
94503,19.8476026,19.97027872,19.96937947,20.36903286,13.46385475,0.070870375,0.014622958,0.003829375,0.001506084,19.84660292,20.37688915
100000,19.85976105,19.97027872,19.96937947,20.3778091,14.644650542,0.047693416,0.007591833,0.003762625,0.011219792,19.85896612,20.38581572
