Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,0.0,0.25700579,0.19696254,1.0,0.297899542,0.044576208,0.082359208,0.0694775,0.015110833,0.0,1.0
4,0.0,0.22424796,0.16684641,1.0,0.53881225,0.026251375,0.07972225,0.068669708,0.011922583,0.0,1.0
9,0.0,0.22728366,0.18352943,1.0,0.824654583,0.039304958,0.092357292,0.087588875,0.010746791,0.0,1.0
11,0.0,0.23305132,0.18638324,1.0,1.07611975,0.037992583,0.085266708,0.07234575,0.00950525,0.0,1.0
14,0.0,0.25344279,0.15398177,1.0,1.322467458,0.043005708,0.071330375,0.073119916,0.009497625,0.0,1.0
16,0.0,0.25287992,0.16298996,1.0,1.57019025,0.038030584,0.073151458,0.076237084,0.012056417,0.0,1.0
23,0.0,0.21515338,0.21678557,0.99999999,1.851594167,0.047504958,0.086245875,0.07358825,0.009565958,0.0,1.0
29,0.0,0.2208239,0.23332159,0.99999991,2.144956625,0.0465545,0.089329041,0.084021166,0.008709625,0.0,0.99999997
40,0.0,0.26531837,0.17854388,0.99999427,2.4079745,0.050993833,0.090580833,0.066397875,0.007889708,0.0,0.99999512
52,0.0,0.25505609,0.2388526,0.99996257,2.685090917,0.050496042,0.077274667,0.091856417,0.010438875,0.0,0.99996586
63,1.0E-8,0.26821134,0.19131649,0.99966541,2.99009075,0.063736375,0.084184584,0.072159167,0.022058791,0.0,0.99967513
89,1.9E-7,0.25315769,0.21106391,0.99803483,3.324101708,0.072970875,0.100478333,0.076012,0.010621291,2.0E-8,0.99807877
100,6.0E-7,0.24588643,0.22142252,0.99635566,3.708522458,0.068122875,0.161730334,0.078558584,0.017513667,5.0E-8,0.99649021
103,1.05E-6,0.24588643,0.19898559,0.99628835,4.0866825,0.067966041,0.102853125,0.14767125,0.009940875,9.0E-8,0.99645974
143,1.622E-5,0.25389219,0.23191556,0.98595275,4.431571625,0.070214917,0.11460825,0.076887875,0.008494,1.79E-6,0.98805822
188,4.84E-5,0.25012568,0.24065103,0.96486411,4.776298792,0.0849365,0.115023292,0.070997625,0.009423542,8.16E-6,0.96966645
217,1.2576E-4,0.2577852,0.25910643,0.95474184,5.174263125,0.090392292,0.137383041,0.075893541,0.0092865,2.796E-5,0.95886269
242,2.5422E-4,0.26269371,0.25368556,0.943844,5.497820917,0.086091167,0.101201125,0.073741,0.008696709,6.719E-5,0.94896049
253,2.8857E-4,0.26269371,0.25696365,0.93803798,5.848943333,0.088134291,0.109211209,0.085710084,0.009987583,7.862E-5,0.94324959
303,8.172E-4,0.2628602,0.26148586,0.91468726,6.233654708,0.104233958,0.084514958,0.085881709,0.009625375,2.9678E-4,0.92203538
354,0.00161669,0.27473358,0.25792137,0.89865036,6.572566792,0.11332075,0.076158916,0.073176708,0.0086895,7.5432E-4,0.90530988
425,0.00289834,0.27614342,0.26204702,0.87653291,6.909055917,0.098559042,0.089009583,0.068570417,0.00818725,0.00136023,0.87985745
