Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,0.11407745,0.2874406,0.28820236,0.39292482,1.21320825,0.795242167,0.209187042,0.102868041,0.022671041,0.11355185,0.39374762
6,0.11407745,0.2874406,0.28820236,0.39292482,2.1554275,0.618927,0.092518875,0.098645667,0.00912825,0.11355185,0.39374762
8,0.11407745,0.2874406,0.28820236,0.39292482,3.1344835,0.702868875,0.114847417,0.070489625,0.006918833,0.11355185,0.39374762
14,0.11407745,0.2874406,0.28820236,0.39292482,3.994857583,0.582877541,0.089541042,0.094714958,0.007765375,0.11355185,0.39374762
19,0.11407745,0.2874406,0.28820236,0.39292482,4.918751416,0.551819625,0.159886041,0.124453834,0.006691417,0.11355185,0.39374762
23,0.11407745,0.2874406,0.28820236,0.39292482,5.789266791,0.53440375,0.112335875,0.096746542,0.007080792,0.11355185,0.39374762
27,0.11407745,0.2874406,0.28820236,0.39292482,6.658866083,0.554228459,0.090207292,0.08465275,0.009501,0.11355185,0.39374762
34,0.11407745,0.2874406,0.28820236,0.39292482,7.482038625,0.5422055,0.086329416,0.0836715,0.006264458,0.11355185,0.39374762
47,0.11407745,0.2874406,0.28820236,0.39292482,8.863001,0.719841542,0.271929,0.2007895,0.012801583,0.11355185,0.39374762
54,0.11413235,0.2874406,0.28820236,0.39290848,11.25000075,1.396663583,0.382518875,0.375991708,0.0112855,0.11360801,0.39373159
74,0.1141248,0.2874406,0.28820236,0.39291073,12.231686666,0.642699916,0.089733875,0.087371083,0.00626875,0.11360028,0.39373379
92,0.11448398,0.2874406,0.28820236,0.39280395,13.172736583,0.609736333,0.106043292,0.103472917,0.008569125,0.11396773,0.39362906
135,0.13015561,0.28745474,0.28820236,0.39175952,14.020438166,0.522939458,0.090572,0.094056958,0.006863792,0.12971028,0.39255502
144,0.12536842,0.28745474,0.28820236,0.39209733,14.939757458,0.598826959,0.094524,0.094104167,0.006226542,0.12489914,0.39289497
193,0.13156856,0.28745474,0.28820236,0.39166014,15.97148025,0.562674583,0.109090042,0.138577792,0.007422708,0.1311303,0.39245504
218,0.13381106,0.2880468,0.28820236,0.39215655,17.040991083,0.707593625,0.094267958,0.102387083,0.00755925,0.13338055,0.3922969
285,0.14778606,0.28806506,0.28820236,0.39120449,17.94890525,0.558040083,0.092818167,0.088731417,0.006243542,0.14737898,0.3913206
312,0.15524084,0.28806506,0.28833834,0.39067904,18.853357083,0.510168542,0.095377792,0.095903791,0.007116042,0.15484316,0.39080407
363,0.16907138,0.28806506,0.28833834,0.38970728,19.827193833,0.589941,0.0990635,0.107108542,0.006349208,0.16870918,0.38984945
458,0.17328613,0.28806506,0.28833834,0.38942381,20.724728708,0.547251083,0.087807125,0.08993175,0.008484166,0.1729362,0.38957095
529,0.17755606,0.28806506,0.28833834,0.38910799,21.631578,0.544023083,0.091675167,0.092545042,0.006924,0.17722245,0.38926115
625,0.18408402,0.28806593,0.28833834,0.38729181,22.760083041,0.522471667,0.109486542,0.309103625,0.006514625,0.1837679,0.38745159
783,0.20191454,0.28819929,0.28833834,0.38688065,23.973555916,0.669025959,0.106661292,0.109491958,0.007861042,0.20166641,0.38697485
879,0.20420366,0.28821129,0.28833834,0.38474475,24.924978916,0.598494459,0.073252958,0.073011084,0.006928584,0.20396151,0.38482791
1112,0.21634465,0.28821584,0.28833834,0.38295555,26.02246075,0.564541875,0.181033917,0.100832125,0.008585041,0.21613297,0.38305169
1307,0.21888248,0.28824073,0.28833834,0.38092226,27.065676,0.561478542,0.137502833,0.103763708,0.006532584,0.21869492,0.38100265
1461,0.22367539,0.28824073,0.28833834,0.38121658,28.157754291,0.633061042,0.124607542,0.0947925,0.006424125,0.22350697,0.3813025
1703,0.22708747,0.28833834,0.28833834,0.3811293,30.061037458,0.965048083,0.223224541,0.2482225,0.020945333,0.22692769,0.38110382
2671,0.22509566,0.2883441,0.28833834,0.37245192,31.866037625,0.776838167,0.143713833,0.114599375,0.010608625,0.22499012,0.37244497
3153,0.22718045,0.2883441,0.28833834,0.37102041,33.00137775,0.605350083,0.094480667,0.099369625,0.006679125,0.22707978,0.37101306
3802,0.23832018,0.2883441,0.28833834,0.36207413,34.070141791,0.540186542,0.087438708,0.094306792,0.006154083,0.23823202,0.36206031
4030,0.23989503,0.2883441,0.28833834,0.36027924,35.049084083,0.550017959,0.104209083,0.088570125,0.006527083,0.23980399,0.36026527
4327,0.24054244,0.2883441,0.28833834,0.35608553,36.05005875,0.54634625,0.097104625,0.087177959,0.006524167,0.24044426,0.35606611
7260,0.24355057,0.2883441,0.28833834,0.33973338,38.029536708,0.639043,0.094265375,0.177647834,0.008819625,0.24348446,0.33973154
7668,0.24598299,0.2883441,0.28833834,0.34064088,39.058589875,0.557208541,0.090735583,0.091871667,0.006054917,0.24592262,0.34064086
10247,0.25221458,0.2883441,0.28835282,0.33240686,40.752978416,0.543847375,0.114475292,0.085670041,0.006193541,0.25216809,0.33240901
14211,0.25238329,0.2883441,0.28835282,0.32586616,42.8962265,0.553322,0.087091459,0.0950705,0.006424125,0.25234377,0.32586686
15272,0.25505319,0.2883441,0.28835282,0.32544467,44.119948541,0.52560725,0.090766958,0.106861209,0.00667325,0.25501329,0.3254449
24623,0.26037854,0.2883441,0.28835282,0.3174161,47.882841208,0.575429042,0.105100958,0.092257167,0.011057084,0.26036731,0.31743484
30652,0.26011662,0.2883441,0.28835282,0.31593061,50.97025925,0.56282525,0.096316583,0.097977541,0.01665175,0.26010426,0.31594426
38235,0.26398446,0.2883441,0.28835282,0.31240946,55.805291958,0.729981458,0.113308667,0.098971542,0.007216708,0.26397747,0.31242331
51056,0.26713031,0.2883441,0.28835282,0.30949142,60.648098833,0.560980291,0.092931625,0.093061916,0.006339875,0.26712584,0.30950599
64017,0.26754845,0.2883441,0.28835282,0.30739022,65.630895833,0.62886975,0.092783333,0.094533334,0.012190125,0.26754473,0.30740405
