Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,0.11407745,0.2874406,0.28820236,0.39292482,0.635089375,0.356061125,0.104990416,0.098993958,0.00742375,0.11355185,0.39374762
6,0.11407745,0.2874406,0.28820236,0.39292482,1.292024083,0.391305458,0.088769375,0.090849292,0.006112709,0.11355185,0.39374762
8,0.11407745,0.2874406,0.28820236,0.39292482,1.967674625,0.363113,0.102758625,0.113637375,0.012833333,0.11355185,0.39374762
14,0.11407745,0.2874406,0.28820236,0.39292482,2.639727958,0.378885209,0.094640166,0.105953542,0.006330542,0.11355185,0.39374762
19,0.11407745,0.2874406,0.28820236,0.39292482,3.292544958,0.364429709,0.093503791,0.105020584,0.006189416,0.11355185,0.39374762
23,0.11407745,0.2874406,0.28820236,0.39292482,3.938637916,0.359655375,0.090320959,0.094816792,0.006692875,0.11355185,0.39374762
27,0.11407745,0.2874406,0.28820236,0.39292482,4.637531916,0.365643209,0.128973042,0.102390625,0.011567125,0.11355185,0.39374762
34,0.11407745,0.2874406,0.28820236,0.39292482,5.296394208,0.371161708,0.087148459,0.097068166,0.009480916,0.11355185,0.39374762
47,0.11407745,0.2874406,0.28820236,0.39292482,5.961299,0.362191375,0.089988833,0.094962792,0.007490792,0.11355185,0.39374762
54,0.11407745,0.2874406,0.28820236,0.39292482,6.641055833,0.356927959,0.092375584,0.1203835,0.007132042,0.11355185,0.39374762
74,0.11407745,0.2874406,0.28820236,0.39292482,7.341782458,0.369174,0.091536041,0.0933205,0.00681725,0.11355185,0.39374762
92,0.11407745,0.2874406,0.28820236,0.39292482,8.031807791,0.3568775,0.094055875,0.114653416,0.009500708,0.11355185,0.39374762
135,0.11407745,0.2874406,0.28820236,0.39292482,8.812066875,0.47606225,0.089734041,0.084837584,0.006022584,0.11355185,0.39374762
144,0.11407745,0.2874406,0.28820236,0.39292482,9.484528083,0.357098,0.096363125,0.095043375,0.008388667,0.11355185,0.39374762
193,0.11407745,0.2874406,0.28820236,0.39292482,10.183723083,0.373825541,0.094539125,0.089630417,0.008966417,0.11355185,0.39374762
218,0.11407745,0.2874406,0.28820236,0.39292482,10.88035125,0.37651225,0.092408375,0.087155709,0.006956125,0.11355185,0.39374762
285,0.11407745,0.2874406,0.28820236,0.39292482,11.614238,0.371006917,0.099486125,0.110044917,0.006775375,0.11355185,0.39374762
312,0.11407745,0.2874406,0.28820236,0.39292482,12.3210315,0.3683115,0.094487167,0.09340025,0.00929575,0.11355185,0.39374762
363,0.11407745,0.2874406,0.28820236,0.39292482,13.013642458,0.356436584,0.097871375,0.082485041,0.008930042,0.11355185,0.39374762
458,0.11407745,0.2874406,0.28820236,0.39292482,13.776285208,0.382684708,0.098306833,0.120774958,0.0094085,0.11355185,0.39374762
529,0.11407745,0.2874406,0.28820236,0.39292482,14.495032166,0.369701667,0.092269917,0.083096167,0.006556167,0.11355185,0.39374762
783,0.11860975,0.2874406,0.28820236,0.39239827,15.279219666,0.365825042,0.098162041,0.084645709,0.006282125,0.11810388,0.39322168
879,0.12036699,0.2874406,0.28820236,0.39219517,16.003290208,0.349248625,0.098159791,0.088541042,0.0065255,0.11986886,0.39301885
1112,0.13151967,0.28745474,0.28820236,0.39094192,16.78794325,0.37949475,0.09434825,0.087285042,0.006687542,0.13107602,0.39174384
1307,0.13304719,0.2880468,0.28820236,0.39142342,17.557354416,0.361500834,0.088860917,0.093546541,0.007076708,0.13260883,0.39157105
1461,0.14016793,0.2880468,0.28820236,0.39071087,18.302368875,0.361497125,0.091288125,0.085727,0.006947792,0.13974037,0.39086879
1703,0.14647761,0.2880468,0.28833834,0.39011368,19.095997416,0.356552334,0.10470425,0.096843125,0.006258333,0.14606173,0.39028053
2671,0.1343196,0.2880468,0.28820236,0.39041335,20.118301583,0.381286083,0.097842875,0.086069792,0.006265333,0.13388727,0.39056982
3153,0.13684701,0.2880468,0.28820236,0.39014332,20.999256083,0.361013416,0.103546167,0.088711917,0.006472417,0.13641851,0.39030367
3802,0.15657357,0.28806506,0.28833834,0.38855713,21.954071041,0.380761209,0.095746541,0.097398041,0.006092208,0.15618072,0.38870543
4030,0.16041615,0.28806506,0.28833834,0.38735398,22.754811666,0.362335916,0.099975584,0.085400667,0.011223417,0.16003617,0.38751565
4327,0.16205051,0.28806506,0.28833834,0.38688562,23.565644833,0.357190292,0.105333917,0.095940958,0.006129542,0.16167599,0.3870527
7260,0.16469556,0.2880468,0.28833834,0.3776291,25.140781458,0.360988041,0.093494291,0.087322125,0.009035708,0.16436904,0.37789819
7668,0.16898278,0.2880468,0.28833834,0.37792337,26.001354125,0.389382542,0.085678084,0.08334475,0.006132875,0.168667,0.37819258
10247,0.17941925,0.28813484,0.28834705,0.373355,27.498624041,0.36374575,0.102567,0.088429084,0.007120125,0.17917657,0.37361872
14210,0.17918723,0.28815393,0.28834705,0.37062064,29.3919415,0.358141458,0.094591625,0.088486,0.006429417,0.17896176,0.37089698
22084,0.18891136,0.28820341,0.28834705,0.36627697,32.734397416,0.383169334,0.132871041,0.085434375,0.00649375,0.18873904,0.36654333
24621,0.19053257,0.28820341,0.28834705,0.36618053,34.234865333,0.356927708,0.098881583,0.079074417,0.006377084,0.19036573,0.36644812
34162,0.19289915,0.28820341,0.28834705,0.36590673,37.840929291,0.373096833,0.129565875,0.085315958,0.006670125,0.19274117,0.36617705
38231,0.19501796,0.2882283,0.28834705,0.36555535,39.772354166,0.36765375,0.103186917,0.087996333,0.006688375,0.19486837,0.36579553
53721,0.1974936,0.2882283,0.28834705,0.36425005,45.882316375,0.373473375,0.14224425,0.085850625,0.0064325,0.19735826,0.36449934
64012,0.19956788,0.2882283,0.28834705,0.36418189,49.822102583,0.363434292,0.181431959,0.089899959,0.006555083,0.19943904,0.36443217
78304,0.20493769,0.2883441,0.28834705,0.36218773,55.332954416,0.45281075,0.116053292,0.11293325,0.008058375,0.20481868,0.36224809
99003,0.20423659,0.28832575,0.28834705,0.36101757,62.421951458,0.453895,0.09432875,0.085585541,0.007150917,0.20412152,0.36112446
100000,0.20468463,0.28832575,0.28834705,0.36086613,63.557176708,0.355260666,0.100556709,0.093462584,0.007003667,0.20457186,0.36097471
