Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,0.12653343,0.28670574,0.28835282,0.36886134,2.814201625,2.558123083,0.099430292,0.077840667,0.00868525,0.12613818,0.37028322
6,0.12653343,0.28670574,0.28835282,0.36886134,5.4673065,2.424230875,0.081456959,0.076878458,0.009209584,0.12613818,0.37028322
8,0.12653343,0.28670574,0.28835282,0.36886134,8.13673175,2.442225291,0.077915792,0.076762,0.011201042,0.12613818,0.37028322
14,0.12653343,0.28670574,0.28835282,0.36886134,10.854276458,2.509960458,0.065730084,0.069715375,0.007153041,0.12613818,0.37028322
19,0.12653343,0.28670574,0.28835282,0.36886134,13.535000292,2.462110084,0.074080041,0.075133042,0.007459166,0.12613818,0.37028322
23,0.12653343,0.28670574,0.28835282,0.36886134,16.230616083,2.45983275,0.0812165,0.073964958,0.007650666,0.12613818,0.37028322
27,0.12653343,0.28670574,0.28835282,0.36886134,18.835962875,2.399349458,0.065022625,0.066425459,0.006855625,0.12613818,0.37028322
34,0.12653343,0.28670574,0.28835282,0.36886134,21.607552958,2.5383325,0.06619825,0.079850083,0.010388584,0.12613818,0.37028322
47,0.12653343,0.28670574,0.28835282,0.36886134,24.346980125,2.500594916,0.065479042,0.08014575,0.006246875,0.12613818,0.37028322
54,0.12658435,0.28670574,0.28835282,0.36886045,27.020791958,2.435445417,0.074475333,0.0670955,0.006242083,0.12619298,0.37028235
74,0.1265781,0.28670574,0.28835282,0.36886056,29.743428667,2.492170208,0.073338709,0.062758125,0.006495209,0.12618624,0.37028246
107,0.12687497,0.28805923,0.28835282,0.36972555,32.407212,2.418256541,0.071530958,0.063887917,0.006109833,0.12649142,0.37027759
135,0.13494568,0.28805923,0.28835282,0.36969791,35.136455833,2.475299041,0.068941166,0.069152375,0.007457208,0.13454731,0.37025029
144,0.13055791,0.28805923,0.28835282,0.36971138,37.90288575,2.533309333,0.062438958,0.062582125,0.009901958,0.13017007,0.37026359
208,0.14020201,0.28805923,0.28835282,0.36968188,40.648147792,2.47419625,0.073420125,0.074513167,0.006695541,0.13979243,0.37023445
289,0.16090363,0.28805923,0.28835282,0.36961957,43.461298417,2.516399209,0.075895417,0.079244417,0.008949291,0.16046468,0.37017289
347,0.17280437,0.28805923,0.28835282,0.36958418,46.251709042,2.509128042,0.074969584,0.070817459,0.007707416,0.17235943,0.37013793
356,0.17703432,0.28805923,0.28835282,0.36957166,48.963231167,2.462689417,0.065796583,0.064296583,0.007066542,0.1765892,0.37012556
458,0.18613966,0.28805923,0.28835282,0.36954651,51.698784417,2.446814,0.06386675,0.066472042,0.009698709,0.18569448,0.3701007
529,0.18874376,0.28805923,0.28835282,0.36953712,54.486367833,2.503407,0.074092208,0.070135333,0.007175958,0.18830364,0.37009143
625,0.19652742,0.28805923,0.28835282,0.36735272,57.228284125,2.438922333,0.066842583,0.070316792,0.007021083,0.19609163,0.36793602
783,0.21419124,0.28805923,0.28835282,0.36931456,60.013679,2.474819125,0.068238792,0.069446209,0.006821625,0.21379317,0.36987163
886,0.21727353,0.28805923,0.28835282,0.36541186,62.73847,2.416903,0.071004666,0.075778292,0.006485375,0.2168847,0.36602152
1113,0.22815678,0.28805923,0.28835282,0.36231147,65.774525083,2.557001916,0.106720459,0.094486958,0.009971333,0.22780627,0.36296493
1569,0.2390581,0.28806189,0.28835282,0.3635074,68.798000375,2.550193041,0.077847208,0.086257375,0.021998875,0.23878698,0.3641391
1752,0.24059798,0.28819346,0.28835282,0.36574415,72.386533125,2.970115792,0.261217417,0.169775,0.008272042,0.24035864,0.36611751
2455,0.24102271,0.28833834,0.28835282,0.36729831,76.871083958,3.610196333,0.075877583,0.070016125,0.007577666,0.24085585,0.36740689
3132,0.24322691,0.28833834,0.28835282,0.35835802,79.765544917,2.397821375,0.06399275,0.066168542,0.008370834,0.24308448,0.35845407
4476,0.2511423,0.28833834,0.28835282,0.34808569,82.890156792,2.371874334,0.08132225,0.06815575,0.010091667,0.25098181,0.34816196
5621,0.25421853,0.28833834,0.28835282,0.33552059,86.978299,3.383631125,0.081745334,0.0755315,0.008737458,0.25408904,0.33560078
7668,0.25542611,0.28833834,0.28835282,0.33131508,90.280037292,2.340727666,0.05264875,0.052032916,0.006178834,0.25531028,0.33139324
10250,0.25965364,0.28833834,0.28835282,0.32316492,93.37046525,2.25889525,0.061634417,0.065798958,0.006784375,0.25955424,0.32323624
15275,0.26171784,0.2883441,0.28835282,0.31891612,96.965268667,2.128845833,0.052894708,0.052467083,0.005494333,0.26163563,0.31896143
19769,0.26334504,0.2883441,0.28835282,0.31575057,100.735462917,2.235384833,0.06840425,0.065303208,0.006697792,0.26329457,0.3158065
24626,0.26610616,0.2883441,0.28835282,0.31214445,104.542623458,2.25870125,0.071341791,0.074797834,0.006517958,0.26606275,0.31219977
34169,0.26725918,0.2883441,0.28835282,0.30941544,110.030624167,2.252226209,0.06746075,0.07296375,0.006554042,0.26722372,0.30945287
38238,0.26876296,0.2883441,0.28835282,0.30853983,113.779162375,2.219536625,0.067203583,0.075517167,0.00962625,0.26873543,0.30857685
53730,0.27084196,0.2883441,0.28835282,0.30558088,121.035718667,2.264744417,0.076442292,0.064158042,0.0065825,0.27081878,0.30561275
64020,0.27176889,0.2883441,0.28835282,0.30412867,126.666466458,2.156954042,0.07083475,0.066835333,0.007003542,0.27174828,0.30416034
78315,0.27430243,0.2883441,0.28835282,0.30204055,132.972152292,2.119689334,0.061633667,0.052746,0.005638125,0.27427731,0.30206482
93491,0.27408009,0.2883441,0.28835282,0.30126416,140.207633,2.597464833,0.078226209,0.0683205,0.0066585,0.27405912,0.30128795
100000,0.27444222,0.2883441,0.28835282,0.30040801,145.216283042,2.437792541,0.069426792,0.087592375,0.0079395,0.27442635,0.30043385
