Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,10.0,10.0,0.08351478,10.0,0.372195375,0.035970167,0.107737208,0.126332667,0.013898209,0.0,134.99999744
7,10.0,10.0,0.25320718,10.0,0.80874125,0.074071417,0.108438042,0.14854,0.011387042,0.0,134.99999744
10,10.0,10.0,0.3365922,10.0,1.520138333,0.056905791,0.287588458,0.231892375,0.011835416,0.0,134.94566166
17,10.0,10.0,0.33965597,10.0,1.983974292,0.106357459,0.189035583,0.098634708,0.011631792,0.0,133.79442388
20,10.0,10.0,0.33598616,10.0,2.379720458,0.080675125,0.123293084,0.100038209,0.013965958,0.0,133.42500285
26,10.0,10.0,0.27721099,10.0,2.797543708,0.098316333,0.142082792,0.108669292,0.010357209,0.0,133.5860535
31,10.0,10.0,0.37626692,10.0,3.366429792,0.065686333,0.180625292,0.245671708,0.010612834,2.0E-8,133.58486086
49,10.0,10.0,1.09902033,10.0,3.778305792,0.075384084,0.140554209,0.128430666,0.009475917,1.5E-7,132.6361455
52,10.0,10.0,0.95757017,10.0,4.23147975,0.074981041,0.1458545,0.137723292,0.014049375,1.27E-6,132.61609223
65,10.0,10.0,1.42591462,10.0,4.709016125,0.089879917,0.144403958,0.142571875,0.012555458,3.203E-5,132.33374108
71,10.0,10.0,1.22506959,10.0,5.152222833,0.084236792,0.145219667,0.124540291,0.011640333,3.471E-5,132.23402713
78,10.0,10.0,1.59261464,10.0,5.64591,0.085475291,0.146074417,0.172070583,0.013801875,1.205E-4,131.33192009
82,10.0,10.0,0.79639784,10.0,6.04642325,0.091480834,0.124185541,0.123329542,0.009942584,2.6341E-4,131.27714616
92,10.0,10.0,2.09461798,10.0,6.446518375,0.078771458,0.139281875,0.117734917,0.009193833,5.3239E-4,131.48497415
96,10.0,10.0,2.09952729,10.0,6.866549625,0.101178292,0.135957625,0.116789125,0.00986525,8.4237E-4,131.31803981
106,10.0,10.0,1.58178953,10.0,7.368385958,0.092365084,0.14214175,0.128932791,0.016482333,0.00120871,131.00516358
125,10.0,10.0,2.33411669,10.0,7.806206125,0.101462375,0.136650666,0.126980083,0.009533458,0.00260379,129.54711167
131,10.0,10.0,2.88086026,10.0,8.279890375,0.096906667,0.167706875,0.140131333,0.010738084,0.00439099,129.4213686
139,10.0,10.0,1.72110191,10.0,8.7398615,0.109083875,0.140697875,0.135174792,0.009532833,0.006413,128.79605807
161,10.0,10.0,2.37687413,10.0,9.187997667,0.096111208,0.156345833,0.112117291,0.009946458,0.01023887,125.78628481
194,10.0,10.0,2.98279378,10.0,9.722910958,0.120579667,0.155932709,0.165083708,0.010716459,0.01778978,124.7959362
202,10.0,10.0,3.75139918,10.0,10.310697583,0.12387075,0.202239542,0.169863542,0.011157708,0.02774715,122.58311309
208,10.0,10.0,2.88168552,10.0,10.844220292,0.122773875,0.166703584,0.156494,0.018478625,0.03050725,122.08037904
225,10.0,10.0,3.39818038,10.0,11.387029167,0.118000458,0.173865084,0.153836667,0.01611775,0.04245643,119.3766681
237,10.0,10.0,4.56778498,10.0,12.321273542,0.13146375,0.260126375,0.372997208,0.016203583,0.04449586,118.80292041
248,10.0,10.0,4.21195307,10.0,12.879850792,0.148110375,0.173594417,0.152158667,0.011007792,0.06217684,118.67472967
269,10.0,10.0,3.65461408,10.0,13.440190042,0.122576833,0.175263209,0.1624175,0.013264208,0.08003906,117.53258369
288,10.0,10.0,5.53554983,10.0,13.9704765,0.11922575,0.167246792,0.154711875,0.011890125,0.13269336,115.36498884
312,10.0,10.0,5.66826546,10.0,14.49956075,0.132618333,0.161927667,0.141435375,0.013993666,0.20371096,114.56236116
328,10.0,10.0,5.57414386,10.0,15.10292175,0.135208875,0.180942917,0.173760791,0.018804791,0.2435499,113.19729721
357,10.0,10.0,6.5993217,10.0,15.630817125,0.14300475,0.162467791,0.144443417,0.010881667,0.29022688,111.79679744
381,10.0,10.0,4.98157556,10.0,16.164318583,0.129325459,0.166024708,0.149875958,0.011725375,0.40295486,110.01425432
403,10.0,10.0,3.81746211,10.0,17.004805625,0.14197975,0.158820083,0.395631708,0.019371459,0.57466028,108.40625056
414,10.0,10.0,4.7323299,10.0,17.89219525,0.204572167,0.303850833,0.286657167,0.014411,0.58265043,107.68174375
445,10.0,10.0,6.56676629,10.0,19.120478208,0.196348667,0.352275417,0.356562042,0.036399208,0.61375737,106.13433672
467,10.0,10.0,6.53508568,10.0,19.815238417,0.221514042,0.185204541,0.171979083,0.017718666,0.75694719,103.46696889
473,10.0,10.0,6.31336733,10.0,20.379897917,0.142907667,0.151746333,0.174233375,0.012054292,0.78806669,103.16603192
488,10.0,10.0,6.16037762,10.0,20.948795292,0.140566875,0.15841225,0.173601834,0.012013541,0.83922973,102.51208293
509,10.0,10.0,7.38399735,10.0,21.526684167,0.148754709,0.171893125,0.164467292,0.013573542,0.92842174,101.94897781
518,10.0,10.0,8.30352137,10.0,22.066080333,0.138694625,0.16718625,0.150639458,0.016121375,0.99008005,101.94495935
543,10.01475534,10.647236,7.1583192,12.64334747,22.64738875,0.1642365,0.170204417,0.158414625,0.0134255,1.12968246,100.89844716
562,10.02224788,10.647236,9.5921481,12.64393378,23.246996667,0.146938958,0.173566583,0.177380917,0.013394958,1.19826263,100.40723524
584,10.0,10.0,6.49104649,10.0,23.83186475,0.149170917,0.170192292,0.155444667,0.011619334,1.39625554,98.86460782
633,10.09040373,10.647236,10.1928669,12.48570518,24.410316083,0.150983583,0.17334275,0.160906833,0.011812084,1.63380311,95.19367018
689,10.02990327,10.647236,8.23115824,12.37720931,25.00173775,0.155452333,0.179263833,0.155774167,0.014081875,1.69496578,92.82971232
707,10.05604334,10.647236,9.06440447,12.38747971,25.613472875,0.147978333,0.180750167,0.185699667,0.016634375,1.70613202,92.3088203
762,10.00221216,10.647236,8.98583156,12.20929352,26.213449333,0.157304917,0.166313,0.166505333,0.01494375,1.81705777,90.41391043
774,10.02188765,10.647236,8.80023828,12.22276089,26.841861042,0.164868875,0.179482375,0.17932225,0.0118965,1.91070245,90.13079973
803,10.01345628,10.647236,10.83833946,12.2124975,27.434880292,0.157068458,0.174528042,0.159148125,0.012639542,1.93593958,89.53258003
822,10.09316307,10.647236,10.07584843,12.24650562,28.020853708,0.162843541,0.170362167,0.158333334,0.017709666,2.17957431,87.1777263
832,10.07339287,10.647236,9.35840882,12.20383103,28.592158625,0.155913792,0.174379584,0.152710084,0.011335,2.1846807,86.64234531
868,10.17912192,10.647236,8.76415936,12.23381738,29.195626417,0.161316875,0.175507667,0.169519375,0.011185042,2.3332671,86.0066557
918,10.15681745,10.647236,9.0948524,12.10784177,29.791364458,0.162156583,0.1716705,0.16289725,0.018710084,2.37778543,84.59363943
940,10.18436308,10.647236,9.40468527,12.11418662,30.397412875,0.154063875,0.168406583,0.157520583,0.019446542,2.49021055,84.23923604
976,10.14542349,10.647236,11.31465041,12.02342213,31.021811333,0.159153083,0.185227208,0.172840375,0.011752208,2.55818371,83.34472374
1027,10.12651173,10.647236,11.84446073,11.99155637,31.74733775,0.196525417,0.257849583,0.161733083,0.011604709,2.65443206,82.58253064
1054,10.13045229,10.647236,11.60176275,11.99311273,32.395145458,0.179787416,0.185279458,0.181153,0.013200292,2.70241996,81.95739284
1069,10.1379981,10.647236,12.65527272,11.98643145,33.06729975,0.28659725,0.160233,0.14765475,0.012031834,2.91997818,81.83192581
1132,10.13380503,10.647236,11.77133535,11.90119554,33.927927792,0.177237583,0.196663917,0.243465916,0.032469125,3.20012178,78.1793392
1210,10.12025459,10.647236,11.76139336,11.86534132,34.634330958,0.231894,0.205363958,0.162264,0.011334792,3.25897934,76.30468646
1266,10.09649244,10.647236,11.63674575,11.79348177,35.266464792,0.17178775,0.200501208,0.161301417,0.011852875,3.32612791,75.30256674
1307,10.07650142,10.647236,11.89241294,11.73828617,35.871287917,0.170228083,0.182477042,0.148435458,0.019089708,3.41423968,74.24030687
1364,10.02545987,10.647236,12.25542046,11.67142212,36.479970458,0.170962458,0.171773041,0.163658333,0.011518792,3.44377922,72.49264698
1429,10.04429922,10.647236,10.93986461,11.68579959,37.106103333,0.167858666,0.1855945,0.166446375,0.01143075,3.58132184,72.22452543
1455,10.0922392,10.647236,11.37587952,11.71485891,37.754333917,0.176777583,0.1901665,0.1687735,0.019517292,3.70410015,71.50597228
1484,10.10652023,10.647236,11.9785871,11.69861622,38.438473542,0.177160084,0.192032625,0.201087125,0.010489292,3.83137332,70.88693638
1568,10.11787919,10.647236,12.46013786,11.63524133,39.066657583,0.166530666,0.176792375,0.174245709,0.010826416,3.95897709,70.02714285
1620,10.10673351,10.647236,12.46648401,11.59444681,39.723899333,0.180416958,0.205524625,0.1645875,0.015383459,4.08399755,69.16207884
1668,10.10194651,10.647236,12.83369869,11.56477391,40.411889417,0.185694083,0.200376042,0.181769541,0.020236666,4.51176943,68.10068694
1737,10.07188057,10.647236,12.738408,11.48862929,41.074684833,0.170930583,0.192762167,0.172470458,0.010795416,4.42696882,66.0492695
1774,10.06788921,10.647236,12.76573513,11.48335711,41.733113,0.179501125,0.202244416,0.170988708,0.01574925,4.5003645,65.62916374
1801,10.06838419,11.11547383,12.47529453,12.35781051,42.390710458,0.198083958,0.190222208,0.168508458,0.011435416,4.59506823,65.50209313
1897,10.19871416,13.18290592,12.99268075,17.01242665,43.068389333,0.17189325,0.189980541,0.174216625,0.013002041,4.75169309,64.81705752
1920,10.22949993,13.18290592,11.35399513,17.00116755,43.732386,0.171690334,0.187763,0.181704666,0.017132417,4.77154164,63.97478135
1936,10.19598131,13.18290592,12.87407952,16.93385339,44.376233333,0.171087,0.182832625,0.177459917,0.0152815,4.84971242,63.66653696
2077,10.16826671,13.18290592,12.74347856,16.66368534,45.072502667,0.172475083,0.191211708,0.1810655,0.011872167,5.16921887,61.66922003
2214,10.34937076,13.18290592,12.81874961,16.64483873,45.737578125,0.184016458,0.176422666,0.169188166,0.018140458,5.25283756,59.58480883
2381,10.38341386,13.19150232,13.70283479,16.56673051,46.4555955,0.180471459,0.184667375,0.201938458,0.013662125,5.58821762,58.59350914
2490,10.66923105,12.92147786,14.74815661,16.03844127,47.142517208,0.2044395,0.161807,0.169721875,0.013027542,5.69199442,57.76415661
2581,10.65747718,13.18290592,14.54987554,16.62118222,47.834605583,0.210258083,0.183441375,0.170435042,0.014521125,5.81984651,56.45624764
2641,10.58826772,13.18451101,13.79566987,16.50312251,48.530121958,0.210016333,0.185879083,0.177178708,0.012551791,5.87393848,55.89071155
2912,10.56499625,13.19150232,14.35681109,16.19343136,49.269473958,0.226684209,0.176626583,0.168080334,0.018278208,6.25773994,51.42322611
2944,10.61097814,13.1240287,15.24026239,16.04301853,49.959753458,0.197258583,0.199282833,0.179587,0.021225834,6.2773592,51.35473145
3012,10.67056026,12.9526833,15.83612695,15.67078129,50.611018167,0.212642583,0.166302292,0.159386084,0.018941208,6.3214049,51.19864843
3202,10.67999939,12.94674974,15.46199256,15.80846688,51.554732208,0.197012833,0.171268958,0.361106208,0.02603,6.42531163,50.48201869
3307,10.69090552,13.16100569,15.76389027,16.50387318,52.253826042,0.203836833,0.170960125,0.188873708,0.012085583,6.51189714,50.27734295
3407,10.78504722,12.94564848,14.8284145,15.80049038,52.93288325,0.1968925,0.162863459,0.171762625,0.027954708,6.58950255,49.73907411
3496,10.88979709,13.15787706,15.59540644,16.23763512,53.611702792,0.212801291,0.172905791,0.166175917,0.012693667,6.70968529,49.59593268
3598,10.95836759,13.26239865,16.49598425,16.36125126,54.300033792,0.204290584,0.17679925,0.1718695,0.016245375,6.88527001,48.88496281
3703,11.08628948,14.52501264,15.15498649,20.07410653,55.0043915,0.20096925,0.162054875,0.186101542,0.015084084,7.06465164,48.72127515
3882,11.12380547,14.5656459,16.30094952,20.03689415,55.727900792,0.214716917,0.17225975,0.18722225,0.012009583,7.2609109,48.40985013
3949,11.14646806,14.83658444,16.17947919,20.36553715,56.441579417,0.224277916,0.174077834,0.187236333,0.021106959,7.53360587,48.03699749
4030,11.21974164,14.86355609,16.83388312,20.51986006,57.144685208,0.234683,0.176717417,0.172305875,0.0125765,7.61168344,47.32128415
4289,11.24942176,14.76420546,15.16366077,20.25416559,57.888031583,0.217215,0.179091708,0.161019875,0.017511667,7.79550053,46.1012945
4560,11.51862206,14.69959239,16.44487329,20.10355596,58.585142833,0.216672958,0.164374291,0.159775959,0.020310084,7.98752741,45.36451394
4604,11.61837237,14.87770766,16.35514181,20.38365949,59.286962417,0.216804834,0.175819417,0.1861175,0.013727875,8.18296516,45.1237637
4860,11.7768708,15.16413128,16.23609532,20.88358698,59.996430167,0.211656375,0.173365333,0.160118542,0.012303125,8.40663973,44.25183241
5063,11.92409808,15.09549758,17.15531984,20.68109686,60.734587958,0.239201834,0.174563959,0.165326417,0.01221975,8.56496702,43.49923315
5176,11.9942617,15.10976654,16.90522118,20.69867246,61.439134417,0.21323275,0.185821833,0.163929333,0.012568292,8.63975154,42.88749681
5389,12.09609569,15.26009982,16.97764453,20.95833145,62.192033917,0.217448666,0.195091667,0.16978825,0.011697167,8.84310803,42.43746099
5554,12.21280169,15.55162447,16.70308759,21.63634702,62.916246708,0.206621125,0.185962542,0.175428125,0.012310416,9.1879759,41.59669259
5796,12.31658265,15.46036568,15.90207338,21.26024948,63.663549958,0.211120042,0.168411959,0.17492975,0.01630275,9.33190092,41.15429389
5850,12.37104765,15.46268393,15.42209347,21.42771492,64.361272792,0.207910959,0.185658833,0.179401541,0.0123395,9.36543649,41.12554519
6007,12.40662735,15.51524946,17.50863578,21.3153521,65.062993958,0.219038,0.168133291,0.17535125,0.011889042,9.40289706,40.89169519
6307,12.39111255,15.77192644,17.45711905,21.73685636,65.822839292,0.215824166,0.167515625,0.185994833,0.017255291,9.67947619,39.42965744
6797,12.40112117,15.83115774,17.31500036,21.71563266,66.638969792,0.223258125,0.162363917,0.170735667,0.011206541,9.75014811,38.78360382
7139,12.54514582,16.06819521,17.59013354,21.95746239,67.404436042,0.205850041,0.19652525,0.180297791,0.019322208,10.04038441,37.45562007
7551,12.63080378,16.30908005,16.74736461,22.59211058,68.268213958,0.213625292,0.174763709,0.25486025,0.011310042,10.16673525,36.99326734
