Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,10.0,10.0,18.98998276,10.0,1.582106833,1.012795541,0.222889167,0.226699125,0.01512425,0.0,120.39320957
5,10.0,10.0,18.98998276,10.0,3.449645166,1.202245291,0.284717042,0.208134459,0.010501791,0.0,120.39320957
7,10.0,10.0,18.98998276,10.0,5.3058835,1.214085166,0.223041708,0.23149875,0.008358458,0.0,120.39320957
15,10.0,10.0,19.00117504,10.0,7.028834333,1.141121083,0.20515775,0.199406875,0.008173791,5.6E-7,116.25342593
23,10.0,10.0,19.0106777,10.0,8.827430625,1.189972834,0.227861333,0.199967916,0.015204833,1.5057E-4,104.12038079
29,10.0,10.0,19.01137917,10.0,10.617586041,1.162577084,0.22569925,0.210063084,0.008399375,0.00503936,95.82192767
39,10.0,10.0,19.01284144,10.0,12.721057375,1.412083333,0.285230792,0.232574166,0.009653042,0.0226283,83.19835127
57,10.0,10.0,19.01284144,10.0,14.5257205,1.186849333,0.212974833,0.206574375,0.010292208,0.22543975,70.84650908
70,10.0,10.0,19.01822329,10.0,16.287273583,1.13642175,0.200382958,0.228453708,0.008406583,0.31991698,64.85135192
97,10.0,10.0,19.0362745,10.0,18.077207791,1.135128875,0.227422958,0.213172666,0.01110025,0.70946576,58.84817138
113,10.0,10.0,19.0362745,10.0,19.929773541,1.136083,0.20839775,0.204198083,0.008762375,1.22592483,56.79832013
129,10.0,10.0,19.0416112,10.0,21.67124275,1.119474709,0.207618917,0.2053195,0.010285667,1.43506936,51.8205822
159,10.0,10.0,19.0416801,10.0,23.456147666,1.156831833,0.211903833,0.213123042,0.012043042,2.19505107,47.89683501
163,10.0,10.0,19.0416801,10.0,25.250076416,1.15425425,0.19946375,0.229125166,0.0086745,2.36787126,47.7134705
180,10.0,10.0,19.04286261,10.0,27.016306833,1.129425,0.213861875,0.206567666,0.008444458,2.65058436,43.88396542
198,10.0,10.0,19.04286261,10.0,28.790700333,1.144901959,0.204652875,0.209304959,0.010719292,2.83855036,42.01039308
237,10.0,10.0,19.04286261,10.0,30.604526958,1.142840834,0.241009459,0.207233333,0.008683125,4.15268138,42.16085954
268,10.0,10.0,19.04286261,10.0,32.316071666,1.137607,0.267202,0.093590333,0.008778667,6.03593831,44.90797336
293,10.0,10.0,19.04170232,10.0,34.063756791,1.098934625,0.215854083,0.211360667,0.013501125,6.84777375,45.1143362
