Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,10.0,10.0,18.98998276,10.0,0.860398166,0.277881208,0.251678917,0.216550208,0.011152666,0.0,120.39320957
5,10.0,10.0,18.98998276,10.0,1.808337541,0.30397275,0.222085875,0.227206333,0.016738541,0.0,120.39320957
7,10.0,10.0,18.98998276,10.0,2.81312975,0.300933209,0.243125208,0.236181208,0.021883,0.0,120.39320957
15,10.0,10.0,19.00117504,10.0,3.733317791,0.281551042,0.234897833,0.213492625,0.011332583,5.6E-7,116.25342593
23,10.0,10.0,19.0106777,10.0,4.702855375,0.285018042,0.249151916,0.241742875,0.010812084,1.5057E-4,104.12038079
29,10.0,10.0,19.01137917,10.0,5.705637375,0.29574625,0.273471792,0.2270175,0.011821708,0.00503936,95.82192767
39,10.0,10.0,19.01284144,10.0,7.280599791,0.442108084,0.305057041,0.554271292,0.014704916,0.0226283,83.19835127
57,10.0,10.0,19.01284144,10.0,8.249733875,0.290202125,0.240222292,0.233669792,0.0097895,0.22543975,70.84650908
70,10.0,10.0,19.01822329,10.0,9.266956041,0.283929333,0.257823292,0.245931958,0.012497458,0.31991698,64.85135192
97,10.0,10.0,19.0362745,10.0,10.270495666,0.293842292,0.23320175,0.249239959,0.009025208,0.70946576,58.84817138
113,10.0,10.0,19.0362745,10.0,11.398290708,0.301270375,0.313636916,0.30598,0.009473875,1.22592483,56.79832013
129,10.0,10.0,19.0416112,10.0,12.629290083,0.299309,0.473081458,0.2389945,0.009207209,1.43506936,51.8205822
159,10.0,10.0,19.0416801,10.0,14.00003375,0.286295959,0.270199167,0.485932917,0.019302625,2.19505107,47.89683501
163,10.0,10.0,19.0416801,10.0,14.985389375,0.306258916,0.23490725,0.221986917,0.00879425,2.36787126,47.7134705
180,10.0,10.0,19.04286261,10.0,16.060485416,0.293926208,0.249599791,0.26364775,0.010180917,2.65058436,43.88396542
198,10.0,10.0,19.04286261,10.0,17.516426166,0.388229292,0.387774916,0.358503791,0.010387583,2.83855036,42.01039308
237,10.0,10.0,19.04286261,10.0,18.693042333,0.338520208,0.282897209,0.28387225,0.01266875,4.15268138,42.16085954
268,10.0,10.0,19.04286261,10.0,20.235986958,0.297693875,0.307477709,0.35011975,0.042206916,6.03593831,44.90797336
293,10.0,10.0,19.04170232,10.0,21.4150935,0.321719708,0.279747,0.2789655,0.0147635,6.84777375,45.1143362
324,10.0,10.0,19.04286261,10.0,22.626742166,0.338882959,0.30946,0.302495792,0.010402291,7.67123021,43.39557704
373,10.0,10.0,19.04282827,10.0,23.777735791,0.315129875,0.31227475,0.2555125,0.009665583,7.73056695,40.63794245
414,10.0,10.0,19.04282827,10.0,24.912931416,0.298620791,0.310739709,0.263377792,0.009767375,8.5091661,39.52528606
467,10.0,10.0,19.04282827,10.0,26.044405666,0.309847834,0.259366375,0.284602917,0.009898708,8.8635314,36.96903835
510,10.0,10.0,19.04282827,10.0,27.09946625,0.320255875,0.387931875,0.101351875,0.008433042,9.61728917,37.46413683
632,10.05697795,14.94572008,19.04282827,23.64433555,28.13540725,0.300071375,0.242069916,0.233880375,0.009004458,9.90740995,33.12361351
738,10.63724451,18.6573045,19.04282827,32.41413985,29.153003,0.276567209,0.234558375,0.214878625,0.009789042,10.57560681,33.70786685
803,11.63204311,18.93032924,19.04282827,32.80254442,30.295712916,0.312684875,0.297517792,0.213992959,0.014655792,11.61232991,33.16344355
866,11.91950103,18.97807276,19.04282827,31.99903158,31.469685666,0.299862292,0.31636625,0.260474459,0.012814083,11.90370498,32.19529748
1112,12.19086519,18.9990877,19.04282827,30.33865064,32.52988775,0.279583083,0.224443625,0.217539833,0.009028417,12.17743627,30.46215783
1293,12.64648559,19.00853835,19.04282827,29.39566539,33.594888958,0.278864583,0.235210667,0.211677583,0.010055417,12.63628412,29.48965295
1468,12.57621242,19.00853835,19.04282827,27.40358749,34.640480625,0.279698667,0.220133417,0.2144025,0.010122084,12.56554227,27.4886532
1712,12.92846123,19.0106777,19.04282827,26.84536401,35.649781375,0.271763584,0.236761625,0.172742958,0.011167584,12.92009975,26.92278861
2049,13.13173297,19.0106777,19.04282827,26.54041602,36.7434075,0.276992917,0.234118083,0.216109208,0.009982542,13.12468267,26.61639002
2494,13.22356669,19.0106777,19.04267783,24.69018583,37.841581333,0.260166833,0.221607584,0.208478,0.009069792,13.2171114,24.75673258
2756,12.9715491,19.0106777,19.04267783,24.1691296,38.895173083,0.266486417,0.228868791,0.201947167,0.009039958,12.96346485,24.23283876
2921,13.29829646,19.0106777,19.04267783,24.26701638,39.946255541,0.27317625,0.226142125,0.205649,0.013597792,13.29232652,24.3312644
3174,14.02133123,19.02881921,19.04267783,24.76446643,41.032003875,0.280130875,0.225898708,0.223664417,0.010396542,14.01872887,24.79512092
3320,14.31105865,19.03654109,19.04267783,24.88812804,42.093884166,0.273179917,0.217910625,0.219821458,0.0101715,14.30930601,24.90340721
3953,14.83328085,19.03932178,19.04267783,24.60886117,43.701427791,0.30573675,0.28282025,0.293124083,0.013219917,14.83219627,24.61739325
4284,15.25140898,19.03932178,19.04267783,24.72350585,44.952724125,0.331183625,0.253578666,0.227842667,0.010303458,15.25079958,24.73212146
5273,16.37338307,19.04255846,19.04267783,24.47153026,46.236140625,0.2764325,0.233732458,0.202003042,0.008941458,16.3732604,24.47258788
5478,16.31448188,19.04255846,19.04267783,23.99154738,47.29155575,0.267110083,0.220615541,0.209157166,0.01265825,16.31434961,23.99254719
5707,16.45513924,19.04255846,19.04267783,23.88182155,48.365541458,0.263079833,0.225669,0.214349584,0.014109,16.45502989,23.88280787
6553,16.29623548,19.04255846,19.04267783,23.57759556,50.245692333,0.377792666,0.519002791,0.332514041,0.015856209,16.29610023,23.57854395
7267,16.83812393,19.04279822,19.04267783,23.59116041,52.568103458,0.329117875,0.455771209,0.661625833,0.024004625,16.83805825,23.59145502
7768,16.74507887,19.04279822,19.04267783,23.34236724,53.971510625,0.30446425,0.223209084,0.232539667,0.010662584,16.74500752,23.34265091
8542,16.97207776,19.04279822,19.04267783,23.12863392,55.33137175,0.351865208,0.223445,0.226978792,0.010881542,16.97202022,23.12890802
9278,16.84279003,19.04279822,19.04267783,23.31712264,57.032383166,0.395210875,0.36261525,0.340185542,0.0100015,16.84272463,23.31740518
10426,17.11340891,19.04279822,19.04267783,23.24372878,58.496552666,0.28743875,0.234834542,0.251310667,0.011095709,17.11335993,23.24400805
11184,17.16496377,19.04279822,19.04267783,22.79931345,59.816974833,0.297656583,0.250521625,0.224673458,0.009448917,17.16491791,22.7995725
11890,17.30122666,19.04279822,19.04282827,22.61325651,61.19415675,0.339170208,0.26104825,0.2250185,0.011001458,17.30118901,22.6135069
12692,17.35538431,19.04279822,19.04282827,22.51319654,62.4664665,0.273395916,0.244091667,0.209496209,0.009168459,17.35534991,22.51344224
13813,17.23714891,19.04279822,19.04282827,22.104814,63.832386458,0.274778708,0.228398709,0.212797375,0.010497791,17.23710739,22.10504017
14514,17.32326559,19.04279822,19.04282827,22.04112393,65.151382666,0.303306291,0.229424334,0.212387042,0.010076542,17.32322926,22.04134701
16670,17.01148643,19.04279822,19.04282827,21.75407007,66.829662083,0.275903333,0.260065875,0.203314583,0.009463708,17.01143128,21.75427907
18407,17.067915,19.04279822,19.04282827,21.57202847,68.40508875,0.275635084,0.241291083,0.229737,0.010601458,17.06786327,21.57222841
19737,17.01927172,19.04279822,19.04282827,21.358478,69.955905,0.280608708,0.236803209,0.209656625,0.009152875,17.01921704,21.35866718
