Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,10.0,10.0,18.98998276,10.0,0.706177458,0.284271208,0.183217125,0.145602208,0.016404792,0.0,120.39320957
5,10.0,10.0,18.98998276,10.0,1.29362175,0.26894875,0.091372625,0.091682125,0.011179333,0.0,120.39320957
7,10.0,10.0,18.98998276,10.0,1.871855542,0.269735417,0.101939458,0.086535417,0.011555292,0.0,120.39320957
15,10.0,10.0,19.00117504,10.0,2.490019792,0.2791765,0.091757416,0.100646416,0.011300709,5.6E-7,116.25342593
23,10.0,10.0,19.0106777,10.0,3.136572333,0.29061925,0.107592125,0.096169,0.016033917,1.5057E-4,104.12038079
29,10.0,10.0,19.01137917,10.0,3.760041083,0.284893334,0.107763334,0.084119958,0.009805375,0.00503936,95.82192767
39,10.0,10.0,19.01284144,10.0,4.368286083,0.281040417,0.096132208,0.08920125,0.011462958,0.0226283,83.19835127
57,10.0,10.0,19.01284144,10.0,4.987469833,0.270398333,0.119101458,0.084523042,0.009919375,0.22543975,70.84650908
70,10.0,10.0,19.01822329,10.0,5.656682708,0.283488792,0.124793459,0.10448725,0.01001025,0.31991698,64.85135192
97,10.0,10.0,19.0362745,10.0,6.288484333,0.280569833,0.095102417,0.08740175,0.011376916,0.70946576,58.84817138
113,10.0,10.0,19.0362745,10.0,6.988183542,0.396421875,0.080219417,0.06935775,0.007124167,1.22592483,56.79832013
129,10.0,10.0,19.0416112,10.0,7.551282917,0.250276834,0.083858458,0.089118333,0.010219375,1.43506936,51.8205822
159,10.0,10.0,19.0416801,10.0,8.13782075,0.264803959,0.066936459,0.074834916,0.008274875,2.19505107,47.89683501
163,10.0,10.0,19.0416801,10.0,8.748414167,0.278772834,0.082714167,0.082057041,0.008897667,2.36787126,47.7134705
180,10.0,10.0,19.04286261,10.0,9.344996333,0.272275666,0.083323,0.077289917,0.008503125,2.65058436,43.88396542
198,10.0,10.0,19.04286261,10.0,9.950253375,0.276862833,0.078057958,0.079670166,0.011192208,2.83855036,42.01039308
237,10.0,10.0,19.04286261,10.0,10.542603792,0.272840375,0.079537958,0.072435833,0.009296417,4.15268138,42.16085954
268,10.0,10.0,19.04286261,10.0,11.134657625,0.276330625,0.078535542,0.068564125,0.008754667,6.03593831,44.90797336
293,10.0,10.0,19.04170232,10.0,11.724208417,0.264378542,0.078308833,0.07597625,0.008434833,6.84777375,45.1143362
324,10.0,10.0,19.04286261,10.0,12.368316917,0.292480583,0.082352875,0.076412584,0.009309792,7.67123021,43.39557704
373,10.0,10.0,19.04282827,10.0,12.987255042,0.274736792,0.082208166,0.085397208,0.009126333,7.73056695,40.63794245
414,10.0,10.0,19.04282827,10.0,13.593513458,0.271691625,0.078800834,0.079401958,0.008589375,8.5091661,39.52528606
467,10.0,10.0,19.04282827,10.0,14.216645875,0.274723291,0.077597292,0.085198292,0.01139425,8.8635314,36.96903835
510,10.0,10.0,19.04282827,10.0,14.848299667,0.268584333,0.078392333,0.075887208,0.009726625,9.61728917,37.46413683
632,10.05697795,14.94572008,19.04282827,23.64433555,15.581633667,0.277046125,0.081325541,0.073557875,0.008787584,9.90740995,33.12361351
738,10.63724451,18.6573045,19.04282827,32.41413985,16.211591167,0.270851334,0.081748625,0.073441375,0.009055542,10.57560681,33.70786685
