Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,20.0,20.0,23.67715043,20.0,44.295172916,44.036705166,0.066314542,0.059060083,0.016787666,2.6694E-4,78.63643848
5,20.0,20.0,23.67715043,20.0,91.074703291,46.5381135,0.064902208,0.058392583,0.01642125,2.6694E-4,78.63643848
11,20.0,20.0,23.67715043,20.0,138.664382166,47.382022583,0.054562167,0.048529375,0.008501333,0.05431483,72.67464986
17,20.0,20.0,23.67715043,20.0,186.475793083,47.590696167,0.056372667,0.050226916,0.00603025,0.87980039,70.24302789
24,20.0,20.0,23.67715043,20.0,236.054864875,49.372258334,0.053051375,0.044725042,0.008050208,2.81724649,69.77876163
31,20.0,20.0,23.67715043,20.0,283.508882583,47.241082792,0.047007458,0.051232959,0.009290916,3.80810271,66.63187456
68,20.0,20.0,23.70770361,20.0,331.009506291,47.275855792,0.047634458,0.0441115,0.007130834,6.15710233,51.23969225
94,20.0,20.0,23.70770361,20.0,378.869673291,47.5972215,0.048741,0.062745292,0.005501417,9.00279348,48.72537857
110,20.0,20.0,23.70770361,20.0,429.597539041,50.315341417,0.096016292,0.0965615,0.018683542,10.30354981,48.57347213
161,20.0,20.0,23.7079788,20.0,477.899517833,47.917537,0.065232625,0.063203875,0.005634708,12.52628792,42.43072837
180,20.0,20.0,23.70770361,20.0,527.802650125,49.55611525,0.072508625,0.097142,0.007365458,13.45728807,41.77238839
225,20.0,20.0,23.7079788,20.0,585.576569083,57.510065167,0.05705525,0.0459,0.009307833,13.97107255,38.05604674
283,20.0,20.0,23.7079788,20.0,639.669309125,53.82880075,0.054694458,0.055345292,0.009072542,13.35880322,35.10999594
359,20.0,20.0,23.7079788,20.0,689.55644475,49.598773292,0.061051125,0.05878675,0.007517959,14.03022378,32.31132413
470,20.0,20.0,23.7079788,20.0,737.329899666,47.500264459,0.056757417,0.050868917,0.00741575,14.57660824,31.04453677
607,20.0,20.0,23.7079788,20.0,784.734500666,47.15175725,0.058125916,0.041757833,0.006407708,15.3509831,30.83512572
690,20.0,20.0,23.7079788,20.0,834.302426125,49.2836655,0.058678417,0.056364292,0.010983667,16.33946849,31.30927093
804,20.0,20.0,23.7079788,20.0,884.69959525,50.123554834,0.05648025,0.0617375,0.006982,17.10291074,30.97499363
1025,20.0,20.0,23.7079788,20.0,932.203561625,47.211956917,0.057908292,0.048235625,0.009753625,17.44521639,29.77350716
1109,20.0,20.0,23.7079788,20.0,978.887230666,46.388820875,0.051698833,0.05410675,0.007317416,17.99608858,30.00775713
1247,20.0,20.0,23.7079788,20.0,1025.841927583,46.606537833,0.0815805,0.062700875,0.010738125,18.04125127,29.21295518
1376,20.0,20.0,23.7079788,20.0,1074.031723958,47.868380791,0.060910792,0.05340225,0.008272666,18.64794623,28.98831687
1594,20.0,20.0,23.7079788,20.0,1120.776788791,46.434524292,0.055741083,0.047586042,0.009896417,19.00876795,28.55795111
1890,20.0,20.0,23.7079788,20.0,1167.497449791,46.418746625,0.049138667,0.045604833,0.00910975,19.5149739,27.55900594
1975,20.0,20.0,23.7079788,20.0,1213.576713916,45.733849709,0.086126292,0.061888375,0.010521916,19.62637555,27.52892826
