Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,20.0,20.0,23.67715043,20.0,2.025830416,1.922861417,0.02439275,0.021376125,0.004685792,0.0,78.64642665
5,20.0,20.0,23.67715043,20.0,3.541527875,1.370097125,0.046778041,0.045807209,0.006601875,0.0,78.64642665
11,20.0,20.0,23.67715043,20.0,6.364358375,2.627971792,0.056240417,0.057505834,0.005343042,1.3E-6,73.80664744
17,20.0,20.0,23.67715043,20.0,9.404050958,2.800975209,0.067470125,0.061590208,0.008959625,0.00169347,70.9118385
24,20.0,20.0,23.67715043,20.0,14.127234375,4.358220375,0.133426625,0.10548475,0.02115425,0.03414092,70.361409
31,20.0,20.0,23.67715043,20.0,23.860525666,9.497588583,0.05039275,0.045931958,0.008431875,0.12686075,68.25051906
68,20.0,20.0,23.70770361,20.0,29.612009583,5.290180583,0.140244667,0.086837333,0.017078125,0.16635671,56.57065592
94,20.0,20.0,23.7079788,20.0,34.839020708,4.786660791,0.073299833,0.089598459,0.011386416,0.48188697,54.2961991
110,20.0,20.0,23.7079788,20.0,39.7248975,4.469097917,0.100270667,0.05238125,0.009476292,0.88701592,54.5649012
161,20.0,20.0,23.7079788,20.0,43.914277458,3.889739041,0.055969083,0.046874416,0.010153375,0.91903612,50.24596198
180,20.0,20.0,23.7079788,20.0,48.665303791,4.519516083,0.0309145,0.031211584,0.007112791,1.1626158,50.31915379
225,20.0,20.0,23.7079788,20.0,52.501855583,3.531938875,0.049908833,0.052813041,0.00603325,1.25977443,48.40029446
283,20.0,20.0,23.70411136,20.0,55.795263333,3.033121208,0.056144042,0.052597292,0.005168625,1.34766243,45.42355304
320,20.0,20.0,23.70411136,20.0,59.34539625,3.239148667,0.052444584,0.051538583,0.013366791,1.96180811,44.12044533
365,20.0,20.0,23.70411136,20.0,62.09098575,2.164977375,0.057825958,0.060445833,0.008289583,2.6837299,42.95807762
408,20.0,20.0,23.70411136,20.0,65.342523541,3.020090125,0.050873209,0.046197375,0.004384916,3.21972006,42.90245962
468,20.0,20.0,23.70411136,20.0,68.534950916,2.927457042,0.052595291,0.053049916,0.006555584,4.59891299,41.91760391
651,20.0,20.0,23.70411136,20.0,71.913473916,2.977676125,0.102415,0.078717958,0.009769542,6.93308772,41.71494357
685,20.0,20.0,23.70411136,20.0,77.2000905,4.901753292,0.054418667,0.04919225,0.008185416,7.49927592,41.84805508
841,20.0,20.0,23.70411136,20.0,79.141309291,1.688047583,0.046627542,0.046751833,0.004225459,8.76616491,41.12338171
921,20.0,20.0,23.70411136,20.0,81.928612541,2.5251615,0.047200583,0.042956167,0.004454583,9.10787586,40.43206281
