Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,20.0,20.0,16.7889076,20.0,0.120393292,0.028167542,0.018802792,0.017546125,0.009245292,8.0E-8,69.99999794
6,20.0,20.0,16.7889076,20.0,0.212114292,0.016828542,0.0131055,0.025352291,0.005806958,8.0E-8,69.99999794
25,20.0,20.0,22.57144243,20.0,0.29480875,0.024025542,0.013497417,0.01367075,0.005577625,8.0E-8,69.99999794
30,20.0,20.0,22.57144243,20.0,0.39043575,0.035352125,0.015908958,0.015929334,0.004450334,0.00474353,69.78509218
33,20.0,20.0,22.57144243,20.0,0.495177667,0.032592625,0.039324292,0.01220725,0.003540917,0.46328076,69.36896409
48,20.0,20.0,21.69478497,20.0,0.579749917,0.038569291,0.012922667,0.012179834,0.0034945,2.58068326,67.06128307
52,20.0,20.0,21.69478497,20.0,0.661374334,0.038322375,0.012535916,0.012185125,0.00332475,2.65142398,66.87392775
60,20.0,20.0,21.69478497,20.0,0.750751084,0.043643291,0.013190375,0.013137083,0.003197167,2.76190039,66.87344016
63,20.0,20.0,21.14984062,20.0,0.833232542,0.041149375,0.012136375,0.012483375,0.002780542,2.77790808,66.86831452
68,20.0,20.0,21.69478497,20.0,0.934263167,0.052155417,0.015080167,0.013291542,0.003537833,2.79083142,66.86794698
96,20.0,20.0,21.10381451,20.0,1.044541625,0.067527333,0.012292375,0.011031333,0.002680375,3.59884027,67.04030701
109,20.0,20.0,21.13458146,20.0,1.147434042,0.057449166,0.014934458,0.014537709,0.002338541,4.07269915,67.24643802
118,20.0,20.0,21.14984062,20.0,1.247836917,0.056478834,0.013992375,0.013298083,0.00281725,4.14145991,67.24633419
125,20.0,20.0,22.19589517,20.0,1.350058625,0.057278333,0.013673167,0.012957333,0.002654834,4.14738856,67.24635642
