Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,20.0,20.0,26.52694312,20.0,12.374524,11.866068,0.20363625,0.155747042,0.01061,0.59244344,62.17176756
5,20.0,20.0,26.52694312,20.0,23.011533458,10.482049584,0.04521175,0.04409575,0.004020459,0.59244344,62.17176756
11,20.0,20.0,26.52694312,20.0,33.718679666,10.524089375,0.05986575,0.04366375,0.011185125,1.46717627,62.17176756
16,20.0,20.0,26.52694312,20.0,45.75895675,11.80682825,0.076359792,0.048566833,0.009411125,3.64912243,61.90465745
27,20.0,20.0,26.52694312,20.0,57.29841575,11.308123875,0.068738792,0.05382475,0.008447291,7.98403311,59.53402307
41,20.0,20.0,26.52694312,20.0,68.694085375,11.298178458,0.015672958,0.009075666,0.008085708,11.82134755,53.77903791
64,20.0,20.0,26.52694312,20.0,79.968830791,11.133267,0.017220583,0.0165065,0.011255625,13.69414729,48.78259492
109,20.0,20.0,26.60478726,20.0,91.103186125,11.023991,0.008118041,0.007113209,0.002551458,13.92679321,42.88944648
130,20.0,20.0,26.60478726,20.0,102.20845025,10.999646583,0.011499583,0.0080195,0.007634459,15.10041793,41.43361073
226,20.45072369,24.01612851,26.60478726,27.73674559,113.462150833,11.116329333,0.016489208,0.014708709,0.005260375,19.64467035,35.71335885
250,20.39623949,24.01612851,26.60478726,27.5873979,125.460422625,11.842980125,0.018316667,0.012678583,0.004648541,19.54802982,35.32890814
322,20.78968804,24.22888846,26.60478726,27.84301469,136.806525,10.982008541,0.010645375,0.00751,0.003156375,20.21885988,33.93555265
395,21.40458611,25.6260054,26.60478726,30.57850714,147.640764708,10.695073833,0.009022916,0.007816875,0.008556583,21.13504879,32.97337325
413,21.25243639,25.21393562,26.60478726,29.44545387,159.324955958,11.512321542,0.023798042,0.020974792,0.006265167,20.94027967,32.55053474
530,21.70628608,25.73040498,26.60478726,30.50586294,170.376740041,10.841244417,0.008069083,0.007852209,0.002890834,21.5194687,32.6859578
694,22.24103637,26.49686495,26.60478726,31.08747699,181.308058833,10.791877042,0.014719833,0.00821025,0.00335075,22.1271306,31.45744545
765,22.48984281,26.5279227,26.60478726,31.23956924,192.246247208,10.796870417,0.010997708,0.0077745,0.003450666,22.39156967,31.54846287
794,22.78135168,26.5279227,26.60478726,31.02750319,203.180021166,10.718864,0.00787675,0.007417167,0.003373625,22.69485821,31.32618857
912,23.2024366,26.57853395,26.60478726,29.8321144,213.9906755,10.670911,0.012229,0.008979084,0.003309708,23.12765386,29.99699694
946,23.22341901,26.57853395,26.60478726,30.37370055,225.904295083,11.779813584,0.01082725,0.008625167,0.00388875,23.14920258,30.55702383
1110,22.88932165,26.5279227,26.60478726,29.68354756,236.73962925,10.691389542,0.00877075,0.007200583,0.002902917,22.80192468,29.91512809
1356,23.32204642,26.57853395,26.60478726,30.19224242,248.399152,11.499537459,0.012419208,0.011769667,0.004210875,23.24897235,30.35952582
1443,23.34186922,26.57853395,26.60478726,29.9312005,260.054578625,11.473769542,0.014317667,0.008977917,0.00957375,23.27374805,30.08712203
2122,23.24214832,26.57853395,26.60478726,29.66312651,271.171611083,10.863314709,0.038741917,0.017582667,0.002978292,23.16644244,29.80418567
2463,23.41788357,26.57853395,26.60478726,29.23034538,282.190351708,10.847318583,0.01315,0.008390458,0.007049625,23.3437493,29.35447664
3429,23.71287414,26.58275009,26.60478726,28.59248496,293.082092958,10.650099041,0.009725625,0.009078333,0.002806916,23.64546601,28.68707362
3704,23.74801472,26.58275009,26.60478726,28.4600898,303.976148333,10.718765791,0.01396,0.008625791,0.003801333,23.68310443,28.55013053
4530,23.98891551,26.58275009,26.60478726,28.26798801,314.911195833,10.696728667,0.012593167,0.009136167,0.003568709,23.93027029,28.35063752
4832,24.07640437,26.58275009,26.60478726,28.25921395,325.794259208,10.67125125,0.015898041,0.007776459,0.003054,24.02151168,28.34153625
5019,24.10089487,26.58275009,26.60478726,28.14493342,336.543835375,10.587504167,0.008200292,0.006709917,0.003515708,24.04467932,28.22307679
6477,24.49434573,26.59045491,26.60478726,28.12771555,347.412185958,10.584902334,0.010181375,0.010742375,0.003023125,24.4512332,28.19199089
7509,25.18321858,26.59045491,26.60478726,28.24203077,358.308328541,10.654074625,0.008994125,0.008118542,0.008354708,25.15574574,28.30909068
8319,25.11073002,26.59045491,26.60478726,28.13663946,369.11622875,10.568940292,0.014118167,0.007291167,0.003076166,25.08190214,28.20004197
9714,25.36403135,26.59045491,26.60478726,27.68330839,379.991331958,10.5988845,0.00839075,0.008002166,0.003468584,25.34195228,27.7327749
11727,25.36968013,26.59045491,26.60478726,27.60786189,390.82036525,10.53396175,0.0092895,0.006384125,0.002930208,25.34796168,27.65439583
15154,25.54592647,26.59045491,26.60478726,27.47868458,401.9668795,10.548751792,0.009345542,0.008607666,0.003101041,25.52941096,27.52075399
17445,25.67467155,26.59045491,26.60478726,27.47189638,412.7870345,10.405543291,0.008131709,0.006382584,0.002906875,25.6611565,27.51365823
18591,25.84782793,26.59045491,26.60478726,27.48192216,423.56968025,10.520806333,0.009636458,0.006007708,0.005210792,25.83883301,27.5233823
21633,25.97391062,26.60182871,26.60478726,27.32589434,434.597692375,10.543884375,0.007669417,0.0064805,0.003077916,25.96758922,27.33959264
