Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,1.367E-5,0.77489015,0.68418839,0.99999806,0.825228416,0.053815209,0.313902,0.314475208,0.023693375,0.0,1.0
8,0.00236061,0.77489015,0.69608361,0.99867816,1.667295125,0.037285958,0.311358375,0.3537175,0.02882625,0.0,1.0
22,0.02288962,0.75459488,0.52868062,0.99819374,2.503723833,0.047932958,0.349893,0.301981208,0.033605333,0.0,1.0
27,0.01997753,0.75459488,0.52626901,0.9971772,3.338374875,0.041846667,0.349642167,0.320012625,0.0285975,0.0,1.0
34,0.03043067,0.75459488,0.37172306,0.99631429,4.225252833,0.051133625,0.351910334,0.331052792,0.025209,0.0,1.0
40,0.03043067,0.75459488,0.56477121,0.99631429,5.076589291,0.04809,0.360601458,0.298704084,0.024410958,0.0,1.0
48,0.03043067,0.75459488,0.48829906,0.99631429,5.816855208,0.050111875,0.294423084,0.291045833,0.019496875,0.0,1.0
55,0.07967859,0.83477215,0.50400192,0.99876434,6.614028208,0.042823041,0.323018292,0.327731,0.02325075,0.0,1.0
64,0.07967859,0.83477215,0.59251797,0.99876434,7.433881416,0.0454215,0.312861042,0.359605959,0.021362542,0.0,1.0
71,0.07967859,0.83477215,0.42941938,0.99876434,8.272104166,0.056401708,0.360035125,0.326544709,0.015484875,0.0,1.0
78,0.07967859,0.83477215,0.83610858,0.99876434,9.134312583,0.050081958,0.372413083,0.339516917,0.020307,0.0,1.0
87,0.13251126,0.80617698,0.72638826,0.99876416,10.015311833,0.057266333,0.379830458,0.332545542,0.021990709,1.0E-8,0.99999631
96,0.18105688,0.80617698,0.4583463,0.99876193,10.899140208,0.070183292,0.379546459,0.329168333,0.015434584,1.0E-8,0.99999777
102,0.17709906,0.80617698,0.43284974,0.99744262,11.790641541,0.0684415,0.362736875,0.355423542,0.018644208,2.0E-8,0.99999073
111,0.16330762,0.80617698,0.52896806,0.9954292,12.820480166,0.074805416,0.450597041,0.400788083,0.016002667,2.0E-8,0.99999073
117,0.15705099,0.80617698,0.85807535,0.99543451,13.726174541,0.0704135,0.388438792,0.345747375,0.020874125,2.0E-8,0.99999073
127,0.2718084,0.83610858,0.36593073,0.99990909,14.400479041,0.07687375,0.290206375,0.237892584,0.013103792,0.19733065,0.99991216
139,0.24919782,0.83610858,0.51225347,0.9962374,15.290750958,0.066468875,0.335296417,0.37703925,0.015486583,0.22639787,0.99625117
152,0.28828369,0.85807535,0.5174367,0.99636266,16.311519,0.092625708,0.438407916,0.37693625,0.015805291,0.28828369,0.99636266
163,0.29455374,0.85807535,0.37490191,0.99602684,17.559372791,0.101331292,0.6469485,0.377677458,0.019571209,0.29455374,0.99602684
187,0.29455374,0.85807535,0.50035627,0.99602684,18.53889275,0.106676416,0.388627333,0.372350959,0.018676667,0.29455374,0.99602684
197,0.29455374,0.85807535,0.15552699,0.99602684,19.539981833,0.126537708,0.4011835,0.371310042,0.023702875,0.29455374,0.99602684
219,0.29718386,0.85807535,0.61616279,0.99527341,20.576727833,0.118009167,0.40784175,0.39599325,0.015800791,0.29718386,0.99527341
246,0.31012424,0.85807535,0.51262908,0.99376242,21.598541416,0.125863833,0.4041715,0.370681917,0.021204667,0.31012424,0.99376242
272,0.25567127,0.85807535,0.59801822,0.98733707,22.711006208,0.136401084,0.396793708,0.464963166,0.019645708,0.25567127,0.98733707
361,0.41306702,0.59801822,0.8167496,0.91176739,23.775548041,0.13679075,0.397111583,0.404607333,0.015041583,0.26497755,0.98833717
501,0.59147578,0.83477215,0.308009,0.95845454,24.934231666,0.170512958,0.388265458,0.438458625,0.026369,0.26497755,0.98833717
516,0.59147578,0.83477215,0.85807535,0.95846569,26.076867583,0.153126458,0.484553875,0.39001425,0.015727625,0.28252728,0.97855381
619,0.59893517,0.83477215,0.47714613,0.95847637,27.177504208,0.1624655,0.400396125,0.402632084,0.018856459,0.5840615,0.94966071
637,0.59893517,0.83477215,0.35387844,0.95847637,28.244400416,0.156741875,0.398131917,0.402274542,0.018454958,0.5840615,0.94966071
668,0.60236698,0.83477215,0.39271162,0.95934477,29.300847375,0.166782625,0.385677667,0.390683125,0.01963975,0.5840615,0.94966071
712,0.60046714,0.83477215,0.61140351,0.95786589,30.385557333,0.156853125,0.418497708,0.392745416,0.018051542,0.5840615,0.94966071
764,0.5992025,0.83477215,0.72737513,0.95498874,31.319354583,0.156202625,0.416763542,0.253539041,0.014849083,0.5840615,0.94966071
784,0.60755107,0.83477215,0.43728273,0.95498889,32.414297916,0.174536125,0.414917209,0.4015255,0.015217166,0.5840615,0.94966071
1107,0.66982389,0.83477215,0.48283606,0.95325261,33.639782791,0.178311167,0.4572775,0.406122792,0.016253791,0.5840615,0.94966071
1181,0.67346974,0.83477215,0.80263723,0.95395181,34.720634583,0.1745305,0.385822875,0.394236625,0.015827542,0.58661593,0.95015445
1519,0.71608494,0.83477215,0.85386355,0.90999339,35.900276708,0.182183084,0.384600125,0.430829959,0.015011542,0.5951007,0.95004075
1815,0.71829903,0.83477215,0.3811254,0.91038664,37.056177875,0.171672292,0.388061583,0.416687375,0.020385333,0.66808162,0.93417843
1830,0.71871247,0.83477215,0.78253954,0.91046311,38.129484958,0.188105042,0.377853209,0.403030292,0.015443958,0.66808162,0.93417843
1982,0.72231417,0.85386355,0.85807535,0.9293974,39.2449115,0.176022959,0.409687583,0.391542667,0.01793075,0.69475186,0.93530646
2367,0.78661056,0.85807535,0.73532024,0.92526155,40.17231475,0.181661083,0.280341792,0.268484584,0.015744042,0.78661056,0.92526155
2428,0.78803298,0.85807535,0.78301818,0.92568553,41.302690875,0.1719475,0.40169075,0.432835375,0.020067167,0.78803298,0.92568553
2444,0.78901552,0.85807535,0.72413648,0.92599838,42.415680125,0.176774959,0.415190583,0.395369041,0.01743175,0.78901552,0.92599838
2455,0.78901552,0.85807535,0.77188622,0.92599838,43.533267583,0.172909375,0.41951325,0.406032833,0.015490625,0.78901552,0.92599838
2542,0.79036712,0.85807535,0.85807535,0.92655376,44.629593166,0.17639,0.402238958,0.390997209,0.016702792,0.79036712,0.92655376
3516,0.80650291,0.85807535,0.71400877,0.90548987,45.957343708,0.185730416,0.398111042,0.421503084,0.018847041,0.80650291,0.90548987
3959,0.80814771,0.85807535,0.85386355,0.90584351,47.2719915,0.1853965,0.434467166,0.437200917,0.021010167,0.80814771,0.90584351
4841,0.81975838,0.85807535,0.79980128,0.90588098,48.340196625,0.172654834,0.36087675,0.215027292,0.020755459,0.81975838,0.90588098
5168,0.81865757,0.85807535,0.79156711,0.90282087,49.516695083,0.188778,0.383180834,0.406437083,0.020403791,0.81865757,0.90282087
5859,0.81790503,0.85807535,0.83477215,0.90195197,50.778317958,0.191533625,0.39909375,0.403756666,0.018817583,0.81790503,0.90195197
6425,0.81816033,0.85807535,0.83610858,0.90189074,52.068366875,0.183699209,0.409326458,0.458476584,0.020175833,0.81816033,0.90189074
8463,0.81742362,0.85807535,0.84707374,0.89123175,53.714756916,0.194273583,0.398690833,0.410177042,0.0214095,0.81742362,0.89123175
8878,0.81675704,0.85807535,0.85386355,0.88956683,54.9138705,0.18892975,0.401799375,0.407542667,0.024698875,0.81675704,0.88956683
9871,0.82373857,0.85386355,0.85386355,0.88871835,56.273388125,0.192037833,0.413696792,0.4060935,0.015459583,0.81893125,0.88844158
15495,0.83515511,0.85386355,0.83477215,0.87799995,58.781553416,0.205353625,0.394261708,0.441021042,0.021130708,0.82821582,0.88070583
18098,0.83505774,0.85386355,0.84707374,0.87762213,60.562031333,0.212841916,0.44191225,0.391385625,0.0212435,0.82792186,0.88021036
19616,0.83707341,0.85386355,0.85807535,0.8780313,62.067988583,0.202482083,0.394984083,0.431385375,0.016051125,0.82985331,0.88049502
25129,0.83901803,0.85807535,0.79980128,0.87435841,64.460636166,0.20936175,0.386976125,0.39949925,0.019489958,0.83901803,0.87435841
25659,0.8385471,0.85807535,0.85807535,0.87358323,65.746368791,0.219861208,0.396911209,0.437133833,0.016585209,0.8385471,0.87358323
26470,0.83940526,0.85807535,0.85807535,0.87329178,67.125599041,0.220739291,0.431788792,0.390079542,0.01720325,0.83940526,0.87329178
27736,0.84151049,0.85807535,0.85807535,0.87375885,68.565162083,0.210856208,0.399170541,0.410441542,0.020170833,0.84151049,0.87375885
28607,0.84364841,0.85807535,0.85807535,0.87459013,69.936991666,0.214642042,0.379989375,0.446431875,0.018647833,0.84364841,0.87459013
33304,0.84517864,0.85807535,0.85807535,0.87244356,72.298618125,0.218169333,0.432567708,0.425366666,0.020332583,0.84517864,0.87244356
40851,0.84687453,0.85807535,0.85386355,0.87039082,75.16341225,0.254177208,0.383152208,0.286779041,0.014880083,0.84687453,0.87039082
42669,0.84748746,0.85807535,0.85807535,0.87050637,76.901715583,0.217137875,0.413835625,0.554656292,0.020410583,0.84748746,0.87050637
43212,0.84748746,0.85807535,0.85807535,0.87030415,78.243395666,0.2728105,0.410222167,0.404339916,0.015378666,0.84748746,0.87030415
48030,0.8484358,0.85807535,0.85807535,0.86969636,80.539769,0.228442291,0.390868875,0.40060975,0.016943041,0.8484358,0.86969636
57187,0.85023938,0.85807535,0.85807535,0.86911808,83.948754375,0.206600292,0.388491,0.466537708,0.019225583,0.85023938,0.86911808
70254,0.85099757,0.85807535,0.85807535,0.86770159,88.165766041,0.205758041,0.38560175,0.407354208,0.01859575,0.85099757,0.86770159
79283,0.85110866,0.85807535,0.85807535,0.86672371,91.539948083,0.212732875,0.372957792,0.433233334,0.017021875,0.85110866,0.86672371
95491,0.8521115,0.85807535,0.85807535,0.86616797,97.270042333,0.224449708,0.403937208,0.452301208,0.015601792,0.8521115,0.86616797
100000,0.85283708,0.85807535,0.85807535,0.86650284,99.505099166,0.224723125,0.384397583,0.399401708,0.019021042,0.85283708,0.86650284
