Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,0.81338803,0.83477215,0.85807535,0.85174179,1.651445584,0.503395542,0.475784416,0.479669,0.02988475,0.76496788,0.90938185
15,0.81338803,0.83477215,0.85807535,0.85174179,3.523881959,0.500631375,0.6712585,0.447647333,0.017767,0.76496788,0.90938185
32,0.81338803,0.83477215,0.85807535,0.85174179,5.311034875,0.495238042,0.565995375,0.551924958,0.024246875,0.76496788,0.90938185
120,0.81338803,0.83477215,0.85807535,0.85174179,7.282111125,0.538034417,0.591195708,0.551961583,0.019897,0.76496788,0.90938185
279,0.81349116,0.83477215,0.85807535,0.85168161,9.227105584,0.530405792,0.736713791,0.452556,0.025667125,0.76619736,0.90938185
495,0.81731178,0.83477215,0.85807535,0.84914811,10.788721,0.484297542,0.508875333,0.348828125,0.017552041,0.78183241,0.90189909
661,0.82146784,0.85386355,0.85807535,0.88164323,12.403457875,0.478725625,0.438595375,0.469415792,0.020599917,0.79789944,0.89880434
1274,0.83191763,0.85386355,0.85807535,0.87425868,15.006231917,0.571581291,0.637369542,1.031544833,0.020557583,0.81915117,0.88906202
1884,0.83315035,0.85386355,0.85807535,0.86803339,16.866939709,0.490432166,0.439089125,0.544273958,0.020951416,0.81942868,0.87880741
2310,0.83578583,0.85386355,0.85807535,0.86733728,18.68916,0.475347083,0.441452459,0.576864709,0.017274917,0.825065,0.87818241
2485,0.8366869,0.85386355,0.85807535,0.86724318,20.381802542,0.574161833,0.416556041,0.440633208,0.018349334,0.82702103,0.87822284
2887,0.83815497,0.85386355,0.85807535,0.86669598,21.982898209,0.45918725,0.411880417,0.422693916,0.017223708,0.83003193,0.87760433
5018,0.8419037,0.85386355,0.85807535,0.86392596,24.274356334,0.518908208,0.527127208,0.540551458,0.015597417,0.83708356,0.87359466
8469,0.8456304,0.85386355,0.85807535,0.86260611,26.67233725,0.430263708,0.499626209,0.508592375,0.015778417,0.84441051,0.8721575
12599,0.84706968,0.85386355,0.85807535,0.86105375,29.194406875,0.4371325,0.426652542,0.446008209,0.018834791,0.84683503,0.86971112
13506,0.84721944,0.85386355,0.85807535,0.86073479,30.989534792,0.453097291,0.420872958,0.464830666,0.022247916,0.84703416,0.86916662
19008,0.85050014,0.85807535,0.85807535,0.86899805,33.702273209,0.449618666,0.430758875,0.417607458,0.017142916,0.85050014,0.86899805
23643,0.85131873,0.85807535,0.85807535,0.86796001,36.36128475,0.453008667,0.460531666,0.412675167,0.01764775,0.85131873,0.86796001
30428,0.85367044,0.85807535,0.85807535,0.86825774,39.500282084,0.482042084,0.468014542,0.46113975,0.021164541,0.85367044,0.86825774
33129,0.85379042,0.85807535,0.85807535,0.86780595,41.754208834,0.427045375,0.442770375,0.455107833,0.022496834,0.85379042,0.86780595
53957,0.85403213,0.85807535,0.85807535,0.86512649,48.022297334,0.523046208,0.489270375,0.45775,0.021872916,0.85403213,0.86512649
98154,0.85504959,0.85807535,0.85807535,0.86329391,59.710630209,0.463997042,0.518569791,0.443245416,0.02090275,0.85504959,0.86329391
100000,0.85517828,0.85807535,0.85807535,0.86334117,61.842433167,0.457630083,0.416485709,0.480983125,0.016106625,0.85517828,0.86334117
