Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,0.79475617,0.83477215,0.85807535,0.85858486,1.383732667,0.33651675,0.45169775,0.439071708,0.028006042,0.42005839,0.90938185
14,0.79475617,0.83477215,0.85807535,0.85858486,2.83115525,0.322967083,0.498318209,0.455274708,0.028030583,0.42005839,0.90938185
37,0.79475617,0.83477215,0.85807535,0.85858486,4.114371458,0.362170375,0.480148542,0.298966416,0.019249708,0.42005839,0.90938185
76,0.79475617,0.83477215,0.85807535,0.85858486,5.499553333,0.33683075,0.468103125,0.421691291,0.021929875,0.42005839,0.90938185
192,0.79475617,0.83477215,0.85807535,0.85858486,6.8940395,0.315739792,0.448032292,0.44366025,0.024208583,0.42005839,0.90938185
322,0.79475617,0.83477215,0.85807535,0.85858486,8.535336833,0.358530708,0.609464333,0.468469042,0.025216875,0.42005839,0.90938185
494,0.79475617,0.83477215,0.85807535,0.85858486,10.93000875,0.351247792,0.580365375,1.148186834,0.032514292,0.42005839,0.90938185
704,0.79475617,0.83477215,0.85807535,0.85858486,12.994233208,0.400485,0.730656667,0.598822583,0.029546875,0.42005839,0.90938185
1352,0.79496739,0.83477215,0.85807535,0.85854015,15.360848583,0.401527917,0.787569958,0.747179666,0.022546167,0.42550894,0.90938185
2646,0.79623542,0.83477215,0.85807535,0.85826025,17.193858,0.344885375,0.486248875,0.467029625,0.021065667,0.45743746,0.90938185
6804,0.79793236,0.83477215,0.85807535,0.85785304,19.884786292,0.340392208,0.513685459,0.556165166,0.021736625,0.49804906,0.90938185
10688,0.79844691,0.83477215,0.85807535,0.85772173,22.251638833,0.330541458,0.45507575,0.442589583,0.024254125,0.50988834,0.90938185
15702,0.79876383,0.83477215,0.85807535,0.85763896,24.9699145,0.315705875,0.445343583,0.588844416,0.038325917,0.51707116,0.90938185
26305,0.79998293,0.83477215,0.85807535,0.85730661,28.899207625,0.3204195,0.448913958,0.460861292,0.020689584,0.54393011,0.90938185
32527,0.80019613,0.83477215,0.85807535,0.85724614,31.730681583,0.374270583,0.38811175,0.374772958,0.018143458,0.54850241,0.90938185
40578,0.80025701,0.83477215,0.85807535,0.85722874,35.051914417,0.320153375,0.459697,0.582851042,0.018936041,0.54980119,0.90938185
75831,0.80076389,0.83477215,0.85807535,0.85708159,44.55709775,0.341647166,0.500308958,0.473137208,0.020169792,0.56049852,0.90938185
100000,0.80085136,0.83477215,0.85807535,0.85705578,52.296454083,0.330978542,0.523698458,0.71154125,0.030898041,0.56232358,0.90938185
