Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Optimistic Guarantee UMDP,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC,UDTMC Result Optimal Policy Robust,UDTMC Result Optimal Polciy Optimistic
2,0.81338803,0.83477215,0.85807535,0.85174179,17.840237333,15.581302875,0.874246,0.700500209,0.048137,0.76496788,0.90938185
15,0.81338803,0.83477215,0.85807535,0.85174179,36.172360875,17.454584541,0.32970725,0.392307,0.022703416,0.76496788,0.90938185
32,0.81338803,0.83477215,0.85807535,0.85174179,53.834617458,16.784755375,0.402785583,0.35501575,0.025544,0.76496788,0.90938185
120,0.81338803,0.83477215,0.85807535,0.85174179,71.206922166,16.454321625,0.363414625,0.337975834,0.041846792,0.76496788,0.90938185
281,0.81348214,0.83477215,0.85807535,0.85168689,90.874048708,18.845368084,0.298630042,0.284859791,0.0229815,0.7660901,0.90938185
497,0.81694886,0.85386355,0.85807535,0.88638905,108.343363583,16.586093958,0.363798583,0.334836875,0.024192083,0.78914837,0.90520855
663,0.82272006,0.85386355,0.85807535,0.88267469,126.621688833,16.943995833,0.557906209,0.549109,0.037366625,0.80144349,0.90061929
1692,0.83535501,0.85386355,0.85807535,0.87198141,143.5242215,15.013662875,0.431861417,0.779377375,0.050012,0.82592601,0.88602145
2266,0.8368405,0.85386355,0.85807535,0.86819571,159.278493291,14.7855745,0.31565525,0.290703667,0.020689375,0.8277204,0.87991243
2648,0.838684,0.85386355,0.85807535,0.8680096,174.643632708,14.522547959,0.309189,0.305412375,0.014510417,0.83167366,0.88001359
4074,0.84091073,0.85386355,0.85807535,0.86506673,190.270090875,14.53545325,0.323110708,0.30090925,0.019067,0.83537828,0.8753855
5420,0.84412989,0.85386355,0.85807535,0.86509691,206.071803875,14.67779625,0.326843541,0.30843975,0.02385075,0.8421719,0.87622848
10440,0.84736081,0.85807535,0.85807535,0.87210756,223.588093458,14.86129825,0.445766167,0.637867041,0.019346458,0.84736081,0.87210756
15661,0.84810696,0.85807535,0.85807535,0.86859448,240.659466416,14.535385458,0.325131167,0.311773125,0.015188125,0.84810696,0.86859448
21718,0.85105162,0.85807535,0.85807535,0.86834754,257.428721125,14.659605084,0.332843791,0.323218375,0.030549,0.85105162,0.86834754
26879,0.85311848,0.85807535,0.85807535,0.86863054,274.293206791,14.63461275,0.329011833,0.291617458,0.0206955,0.85311848,0.86863054
42221,0.8537563,0.85807535,0.85807535,0.86622103,293.287852916,14.519101417,0.325961167,0.30284825,0.019625167,0.8537563,0.86622103
58673,0.8551365,0.85807535,0.85807535,0.86569285,312.256103708,14.552141375,0.316723708,0.306637542,0.01526625,0.8551365,0.86569285
98172,0.85527201,0.85807535,0.85807535,0.86349676,339.197722,16.607436083,0.354904833,0.329471459,0.02003675,0.85527201,0.86349676
100000,0.85544239,0.85807535,0.85807535,0.86358248,356.093374375,15.372711334,0.338338917,0.344087916,0.022864416,0.85544239,0.86358248
